"price","change","match_qtty","side","time","total_vol"
16000,-1200,2800,"sd","14:45:45",5556800
16000,-1200,405200,"unknown","14:45:01",5554000
0,-17200,100,"bu","14:30:00",5148800
16000,-1200,600,"sd","14:29:59",5148700
16000,-1200,1100,"sd","14:29:58",5148100
15800,-1400,59000,"sd","14:29:57",5147000
16000,-1200,1000,"bu","14:29:56",5088000
16000,-1200,500,"bu","14:29:55",5087000
16000,-1200,600,"bu","14:29:54",5086500
15900,-1300,1000,"sd","14:29:53",5085900
16000,-1200,1500,"bu","14:29:51",5084900
15900,-1300,10800,"sd","14:29:50",5083400
16000,-1200,100,"bu","14:29:48",5072600
16000,-1200,100,"bu","14:29:43",5072500
16000,-1200,1000,"bu","14:29:42",5072400
15900,-1300,18000,"sd","14:29:40",5071400
16000,-1200,4100,"bu","14:29:38",5053400
16000,-1200,9700,"bu","14:29:37",5049300
16000,-1200,4000,"bu","14:29:35",5039600
16000,-1200,100,"bu","14:29:33",5035600
16000,-1200,500,"bu","14:29:32",5035500
16000,-1200,1200,"bu","14:29:31",5035000
16000,-1200,1000,"bu","14:29:29",5033800
16000,-1200,500,"bu","14:29:28",5032800
16000,-1200,100,"bu","14:29:25",5032300
16000,-1200,500,"bu","14:29:23",5032200
16000,-1200,8800,"bu","14:29:22",5031700
16000,-1200,1000,"bu","14:29:21",5022900
16000,-1200,200,"bu","14:29:20",5021900
16000,-1200,500,"bu","14:29:19",5021700
16000,-1200,2900,"bu","14:29:16",5021200
16000,-1200,5300,"bu","14:29:14",5018300
16000,-1200,11800,"sd","14:29:12",5013000
16000,-1200,500,"sd","14:29:08",5001200
16000,-1200,100,"sd","14:29:06",5000700
16000,-1200,56000,"sd","14:29:03",5000600
16000,-1200,200,"sd","14:29:02",4944600
16000,-1200,100,"sd","14:29:01",4944400
16000,-1200,4000,"sd","14:29:00",4944300
16000,-1200,500,"sd","14:28:56",4940300
16000,-1200,1000,"sd","14:28:49",4939800
16000,-1200,5000,"sd","14:28:48",4938800
16000,-1200,1000,"sd","14:28:45",4933800
16000,-1200,4000,"sd","14:28:40",4932800
16000,-1200,27100,"sd","14:28:37",4928800
16100,-1100,5000,"bu","14:28:32",4901700
16000,-1200,7000,"sd","14:28:29",4896700
16100,-1100,500,"bu","14:28:27",4889700
16000,-1200,500,"sd","14:28:26",4889200
16100,-1100,4400,"bu","14:28:19",4888700
16100,-1100,9300,"sd","14:28:14",4884300
16100,-1100,3000,"bu","14:28:13",4875000
16100,-1100,20600,"sd","14:28:11",4872000
16100,-1100,13000,"sd","14:28:08",4851400
16100,-1100,5000,"sd","14:28:05",4838400
16100,-1100,500,"sd","14:27:56",4833400
16100,-1100,4200,"bu","14:27:44",4832900
16100,-1100,3500,"bu","14:27:43",4828700
16100,-1100,8700,"bu","14:27:41",4825200
16100,-1100,100,"bu","14:27:40",4816500
16100,-1100,4800,"sd","14:27:38",4816400
16100,-1100,1000,"sd","14:27:36",4811600
16100,-1100,2000,"sd","14:27:34",4810600
16100,-1100,700,"sd","14:27:30",4808600
16100,-1100,1900,"sd","14:27:28",4807900
16100,-1100,2000,"sd","14:27:27",4806000
16100,-1100,200,"sd","14:27:15",4804000
16200,-1000,200,"bu","14:27:07",4803800
16100,-1100,4900,"sd","14:26:58",4803600
16200,-1000,100,"bu","14:26:53",4798700
16200,-1000,31600,"bu","14:26:51",4798600
16300,-900,2700,"bu","14:26:48",4767000
16300,-900,600,"bu","14:26:44",4764300
16300,-900,1800,"bu","14:26:38",4763700
16200,-1000,2200,"sd","14:26:35",4761900
16300,-900,1000,"bu","14:26:27",4759700
16200,-1000,5000,"sd","14:26:20",4758700
16200,-1000,2000,"sd","14:26:13",4753700
16200,-1000,6000,"sd","14:26:06",4751700
16200,-1000,1200,"sd","14:26:05",4745700
16200,-1000,21000,"sd","14:25:59",4744500
16200,-1000,1500,"sd","14:25:48",4723500
16200,-1000,100,"sd","14:25:41",4722000
16200,-1000,200,"sd","14:25:39",4721900
