"price","change","match_qtty","side","time","total_vol"
17700,200,53200,"unknown","14:45:02",777800
17700,200,500,"sd","14:29:56",724600
17700,200,2000,"unknown","14:29:51",724100
17750,250,2400,"bu","14:29:32",722100
17750,250,500,"bu","14:29:32",719700
17750,250,4000,"bu","14:29:32",719200
17750,250,7000,"bu","14:29:32",715200
17750,250,300,"bu","14:29:32",708200
17700,200,4100,"bu","14:29:32",707900
17600,100,1000,"bu","14:29:32",703800
17600,100,700,"bu","14:29:32",702800
17600,100,10200,"bu","14:29:14",702100
17700,200,100,"bu","14:29:14",691900
17700,200,800,"sd","14:29:08",691800
17700,200,100,"bu","14:28:57",691000
17700,200,1000,"bu","14:28:57",690900
17700,200,900,"bu","14:28:00",689900
17700,200,500,"bu","14:28:00",689000
17700,200,500,"bu","14:28:00",688500
17700,200,2000,"bu","14:28:00",688000
17650,150,1100,"bu","14:28:00",686000
17650,150,1000,"sd","14:27:59",684900
17650,150,1000,"sd","14:27:59",683900
17650,150,1900,"sd","14:27:59",682900
17650,150,1000,"sd","14:27:49",681000
17700,200,3000,"bu","14:27:48",680000
17650,150,1000,"sd","14:27:17",677000
17650,150,10000,"bu","14:27:13",676000
17650,150,800,"bu","14:27:13",666000
17650,150,5000,"bu","14:27:13",665200
17650,150,300,"bu","14:27:13",660200
17600,100,300,"bu","14:26:47",659900
17600,100,39500,"bu","14:26:47",659600
17600,100,2000,"bu","14:26:39",620100
17600,100,5000,"bu","14:26:19",618100
17600,100,1000,"sd","14:26:06",613100
17600,100,2500,"sd","14:26:06",612100
17600,100,1000,"sd","14:25:44",609600
17600,100,100,"bu","14:25:44",608600
17600,100,300,"bu","14:25:44",608500
17600,100,200,"bu","14:25:44",608200
17600,100,400,"bu","14:25:44",608000
17600,100,500,"bu","14:25:44",607600
17600,100,5000,"bu","14:25:44",607100
17550,50,200,"bu","14:25:24",602100
17550,50,1400,"bu","14:25:24",601900
17550,50,3600,"sd","14:25:05",600500
17550,50,500,"sd","14:25:05",596900
17550,50,400,"bu","14:24:54",596400
17550,50,200,"bu","14:24:54",596000
17550,50,200,"bu","14:24:54",595800
17550,50,300,"bu","14:24:54",595600
17550,50,4800,"bu","14:24:54",595300
17500,0,1700,"sd","14:24:54",590500
17500,0,3000,"sd","14:24:19",588800
17500,0,200,"bu","14:24:08",585800
17500,0,4600,"bu","14:24:08",585600
17500,0,400,"bu","14:24:03",581000
17450,-50,500,"sd","14:22:46",580600
17500,0,2000,"bu","14:22:40",580100
17450,-50,300,"sd","14:21:37",578100
17500,0,1200,"bu","14:21:25",577800
17500,0,3800,"bu","14:21:24",576600
17500,0,700,"bu","14:21:24",572800
17500,0,10000,"bu","14:21:24",572100
17500,0,200,"bu","14:21:24",562100
17500,0,500,"bu","14:21:24",561900
17500,0,4800,"bu","14:21:24",561400
17450,-50,500,"sd","14:20:55",556600
17450,-50,300,"bu","14:20:31",556100
17450,-50,1000,"bu","14:20:31",555800
17350,-150,800,"sd","14:20:20",554800
17450,-50,700,"sd","14:20:11",554000
17450,-50,1800,"bu","14:20:08",553300
17450,-50,2000,"bu","14:20:08",551500
17450,-50,500,"bu","14:20:08",549500
17400,-100,1000,"bu","14:19:36",549000
17350,-150,1000,"bu","14:18:43",548000
17350,-150,5000,"bu","14:18:43",547000
17350,-150,900,"bu","14:18:43",542000
17200,-300,1000,"sd","14:18:31",541100
17200,-300,3000,"bu","14:18:27",540100
17200,-300,1000,"sd","14:18:14",537100
17250,-250,1000,"sd","14:18:14",536100
17350,-150,100,"bu","14:18:11",535100
17300,-200,9900,"bu","14:18:11",535000
17300,-200,100,"sd","14:18:03",525100
17300,-200,1000,"bu","14:17:51",525000
17300,-200,3900,"bu","14:17:51",524000
17250,-250,1000,"sd","14:17:39",520100
17250,-250,2000,"bu","14:17:31",519100
17250,-250,1000,"bu","14:17:31",517100
17150,-350,400,"sd","14:16:55",516100
17150,-350,200,"sd","14:16:55",515700
17150,-350,500,"sd","14:16:55",515500
17150,-350,500,"sd","14:16:55",515000
17200,-300,2000,"sd","14:16:55",514500
17200,-300,100,"sd","14:16:55",512500
17300,-200,100,"bu","14:15:39",512400
17300,-200,1000,"bu","14:14:52",512300
17300,-200,500,"bu","14:14:38",511300
17300,-200,400,"bu","14:14:19",510800
17300,-200,100,"bu","14:14:16",510400
17200,-300,100,"sd","14:13:45",510300
17200,-300,100,"sd","14:13:45",510200
17200,-300,1000,"sd","14:13:24",510100
17200,-300,500,"sd","14:13:24",509100
17200,-300,2200,"sd","14:13:24",508600
17250,-250,300,"sd","14:13:24",506400
17300,-200,1000,"sd","14:13:24",506100
17300,-200,100,"sd","14:13:01",505100
17300,-200,100,"sd","14:12:54",505000
17300,-200,200,"sd","14:12:48",504900
17300,-200,300,"sd","14:12:48",504700
17300,-200,200,"sd","14:11:34",504400
17300,-200,500,"sd","14:11:34",504200
17300,-200,100,"sd","14:11:34",503700
17300,-200,200,"sd","14:11:34",503600
17400,-100,1300,"bu","14:10:44",503400
17400,-100,1000,"bu","14:10:44",502100
17400,-100,200,"bu","14:10:44",501100
17400,-100,100,"bu","14:10:30",500900
17400,-100,100,"bu","14:10:28",500800
17400,-100,500,"bu","14:09:32",500700
17400,-100,100,"bu","14:09:28",500200
17400,-100,800,"bu","14:09:28",500100
17400,-100,4000,"bu","14:09:09",499300
17300,-200,400,"sd","14:08:33",495300
17400,-100,200,"bu","14:08:05",494900
17400,-100,800,"bu","14:07:52",494700
17400,-100,4200,"sd","14:07:47",493900
17400,-100,500,"bu","14:07:35",489700
17400,-100,2000,"bu","14:07:35",489200
17400,-100,1000,"bu","14:07:35",487200
17400,-100,2300,"bu","14:07:35",486200
17300,-200,1000,"bu","14:07:31",483900
17300,-200,1000,"bu","14:07:31",482900
17300,-200,400,"bu","14:07:31",481900
17300,-200,2000,"bu","14:07:26",481500
17300,-200,900,"bu","14:07:19",479500
17300,-200,100,"bu","14:07:13",478600
17300,-200,1000,"bu","14:07:00",478500
17300,-200,500,"bu","14:06:52",477500
17300,-200,600,"bu","14:06:49",477000
17300,-200,400,"bu","14:06:16",476400
17300,-200,3000,"sd","14:05:23",476000
17300,-200,1100,"sd","14:05:23",473000
17350,-150,600,"bu","14:05:11",471900
17300,-200,100,"bu","14:04:50",471300
17300,-200,2000,"bu","14:04:50",471200
17300,-200,500,"bu","14:04:50",469200
17300,-200,1200,"bu","14:04:50",468700
17300,-200,1000,"bu","14:04:46",467500
17300,-200,500,"bu","14:04:41",466500
17300,-200,2000,"bu","14:04:33",466000
17300,-200,5100,"bu","14:04:27",464000
17300,-200,200,"bu","14:04:13",458900
17300,-200,500,"bu","14:04:13",458700
17300,-200,500,"bu","14:03:22",458200
17250,-250,1000,"bu","14:02:56",457700
17250,-250,4700,"bu","14:02:56",456700
17250,-250,500,"bu","14:02:56",452000
17200,-300,800,"bu","14:02:46",451500
17200,-300,200,"bu","14:02:36",450700
17200,-300,5000,"bu","14:02:19",450500
17200,-300,200,"bu","14:01:02",445500
17200,-300,400,"bu","14:01:02",445300
17200,-300,100,"bu","14:00:42",444900
17200,-300,500,"bu","14:00:37",444800
17200,-300,300,"bu","13:59:41",444300
17200,-300,100,"bu","13:59:38",444000
17200,-300,100,"sd","13:58:15",443900
17200,-300,1000,"bu","13:56:57",443800
17200,-300,1000,"bu","13:56:57",442800
17200,-300,2400,"bu","13:56:57",441800
17150,-350,500,"bu","13:56:57",439400
17150,-350,1000,"bu","13:56:51",438900
17150,-350,500,"sd","13:56:32",437900
17150,-350,500,"bu","13:56:26",437400
17150,-350,200,"bu","13:56:20",436900
17150,-350,100,"bu","13:56:14",436700
17150,-350,200,"sd","13:55:36",436600
17150,-350,100,"sd","13:55:36",436400
17150,-350,500,"sd","13:55:36",436300
17150,-350,3400,"sd","13:55:36",435800
17150,-350,700,"sd","13:54:32",432400
17150,-350,500,"bu","13:54:30",431700
17150,-350,100,"sd","13:53:37",431200
17200,-300,2600,"bu","13:52:58",431100
17200,-300,400,"bu","13:52:58",428500
17200,-300,600,"bu","13:51:40",428100
17150,-350,400,"bu","13:51:40",427500
17150,-350,200,"bu","13:48:51",427100
17150,-350,400,"bu","13:48:46",426900
17150,-350,100,"bu","13:48:46",426500
17150,-350,100,"bu","13:48:28",426400
17100,-400,400,"bu","13:48:02",426300
17100,-400,100,"bu","13:47:54",425900
17100,-400,100,"sd","13:47:29",425800
17100,-400,100,"sd","13:47:29",425700
17100,-400,300,"sd","13:47:29",425600
17100,-400,1500,"sd","13:47:11",425300
17100,-400,1000,"sd","13:47:11",423800
17100,-400,1000,"sd","13:47:11",422800
17100,-400,100,"sd","13:47:11",421800
17100,-400,4100,"sd","13:47:11",421700
17100,-400,5900,"sd","13:46:34",417600
17100,-400,600,"sd","13:46:34",411700
17100,-400,500,"sd","13:46:34",411100
17100,-400,1000,"sd","13:46:34",410600
17100,-400,200,"sd","13:46:34",409600
17100,-400,100,"sd","13:46:34",409400
17100,-400,300,"sd","13:46:34",409300
17100,-400,100,"sd","13:46:34",409000
17100,-400,100,"sd","13:46:34",408900
17100,-400,100,"sd","13:46:34",408800
17100,-400,1100,"sd","13:46:34",408700
17100,-400,1500,"sd","13:46:07",407600
17150,-350,200,"sd","13:46:04",406100
17150,-350,600,"sd","13:46:04",405900
17150,-350,400,"sd","13:45:23",405300
17150,-350,4600,"sd","13:45:23",404900
17250,-250,300,"bu","13:43:51",400300
17250,-250,600,"bu","13:43:51",400000
17150,-350,5400,"sd","13:43:40",399400
17150,-350,200,"sd","13:43:40",394000
17150,-350,100,"sd","13:43:40",393800
17200,-300,200,"sd","13:43:40",393700
17200,-300,400,"sd","13:43:40",393500
17250,-250,100,"bu","13:41:15",393100
17200,-300,100,"sd","13:39:39",393000
17200,-300,200,"sd","13:39:09",392900
17250,-250,400,"sd","13:38:48",392700
17250,-250,100,"sd","13:37:32",392300
17300,-200,100,"bu","13:36:09",392200
17300,-200,500,"bu","13:35:25",392100
17300,-200,2000,"bu","13:35:12",391600
17300,-200,100,"bu","13:35:04",389600
17300,-200,1000,"bu","13:33:20",389500
17350,-150,400,"bu","13:31:26",388500
17350,-150,1000,"bu","13:31:26",388100
17200,-300,100,"sd","13:29:31",387100
17200,-300,200,"sd","13:29:31",387000
17200,-300,100,"sd","13:27:38",386800
17200,-300,100,"sd","13:27:38",386700
17200,-300,5000,"sd","13:27:38",386600
17200,-300,9800,"sd","13:27:38",381600
17200,-300,200,"sd","13:26:43",371800
17200,-300,1000,"sd","13:24:33",371600
17250,-250,4000,"sd","13:24:33",370600
17200,-300,3500,"sd","13:20:34",366600
17200,-300,100,"sd","13:20:34",363100
17250,-250,800,"sd","13:20:34",363000
17250,-250,200,"sd","13:20:34",362200
17250,-250,400,"sd","13:20:34",362000
17250,-250,600,"sd","13:18:57",361600
17250,-250,1000,"sd","13:18:57",361000
17450,-50,100,"bu","13:18:53",360000
17250,-250,1000,"bu","13:17:50",359900
17250,-250,1000,"bu","13:17:34",358900
17250,-250,500,"sd","13:17:23",357900
17250,-250,200,"sd","13:17:23",357400
17250,-250,100,"sd","13:17:23",357200
17250,-250,200,"sd","13:17:22",357100
17250,-250,300,"sd","13:17:22",356900
17250,-250,5000,"sd","13:17:22",356600
17250,-250,1000,"sd","13:17:22",351600
17300,-200,700,"sd","13:17:22",350600
17450,-50,1100,"bu","13:15:28",349900
17450,-50,800,"bu","13:14:26",348800
17450,-50,200,"bu","13:14:26",348000
17450,-50,1100,"sd","13:11:43",347800
17450,-50,400,"sd","13:11:43",346700
17500,0,2000,"sd","13:10:10",346300
17500,0,20000,"sd","13:10:10",344300
17500,0,23200,"sd","13:10:10",324300
17500,0,5000,"sd","13:08:55",301100
17500,0,100,"sd","13:08:47",296100
17550,50,200,"bu","13:08:38",296000
17550,50,300,"bu","13:08:38",295800
17500,0,1000,"bu","13:08:26",295500
17500,0,500,"bu","13:08:26",294500
17500,0,4700,"bu","13:08:26",294000
17500,0,3000,"bu","13:05:57",289300
17500,0,2200,"bu","13:05:57",286300
17500,0,500,"bu","13:05:57",284100
17500,0,300,"bu","13:05:57",283600
17500,0,2600,"bu","13:05:57",283300
17500,0,1400,"bu","13:05:43",280700
17500,0,800,"bu","13:05:43",279300
17500,0,500,"bu","13:05:43",278500
17450,-50,2000,"bu","13:05:43",278000
17450,-50,5000,"bu","13:05:43",276000
17450,-50,300,"bu","13:05:43",271000
17450,-50,200,"bu","13:05:41",270700
17450,-50,300,"bu","13:05:41",270500
17400,-100,3000,"bu","13:05:05",270200
17400,-100,500,"bu","13:05:05",267200
17400,-100,1700,"bu","13:05:05",266700
17350,-150,100,"bu","13:00:40",265000
17350,-150,900,"bu","13:00:40",264900
17300,-200,300,"sd","13:00:09",264000
17300,-200,200,"sd","13:00:09",263700
17350,-150,100,"bu","13:00:02",263500
17300,-200,500,"sd","13:00:01",263400
17300,-200,500,"sd","13:00:01",262900
17300,-200,500,"sd","13:00:01",262400
17300,-200,1000,"sd","13:00:01",261900
17300,-200,100,"sd","12:59:59",260900
17300,-200,3000,"sd","11:27:43",260800
17350,-150,2000,"sd","11:27:43",257800
17400,-100,1400,"bu","11:23:56",255800
17400,-100,1900,"bu","11:20:47",254400
17400,-100,100,"bu","11:20:47",252500
17400,-100,1000,"bu","11:20:47",252400
17300,-200,900,"sd","11:18:29",251400
17300,-200,1000,"sd","11:18:29",250500
17300,-200,800,"sd","11:18:29",249500
17300,-200,2000,"sd","11:18:29",248700
17350,-150,300,"sd","11:18:29",246700
17350,-150,500,"bu","11:15:07",246400
17350,-150,100,"bu","11:09:06",245900
17350,-150,200,"bu","11:08:56",245800
17350,-150,1800,"bu","11:08:56",245600
17350,-150,200,"sd","11:05:02",243800
17400,-100,100,"bu","11:04:10",243600
17400,-100,100,"bu","11:02:28",243500
17400,-100,100,"sd","11:02:12",243400
17400,-100,3500,"sd","11:02:12",243300
17400,-100,5000,"bu","11:01:57",239800
17400,-100,500,"bu","11:01:57",234800
