"price","change","match_qtty","side","time","total_vol"
2000,200,1400,"sd","14:38:11",943300
2000,200,300,"sd","14:17:40",941900
2000,200,200,"sd","14:12:26",941600
2000,200,5200,"sd","14:12:16",941400
2000,200,300,"sd","14:08:36",936200
2000,200,300,"sd","14:07:05",935900
2000,200,8500,"sd","14:00:51",935600
2000,200,500,"bu","14:00:40",927100
2000,200,2000,"bu","14:00:39",926600
2000,200,10800,"bu","14:00:13",924600
2000,200,3800,"bu","14:00:05",913800
2000,200,6500,"bu","13:59:54",910000
2000,200,10000,"bu","13:59:48",903500
2000,200,200,"bu","13:59:45",893500
2000,200,500,"bu","13:59:41",893300
2000,200,22000,"bu","13:58:38",892800
2000,200,1000,"bu","13:58:23",870800
2000,200,8800,"bu","13:55:33",869800
2000,200,6000,"bu","13:55:15",861000
2000,200,7700,"bu","13:54:51",855000
2000,200,2000,"bu","13:53:33",847300
2000,200,300,"bu","13:52:18",845300
2000,200,11500,"bu","13:52:04",845000
2000,200,9000,"unknown","13:51:13",833500
2000,200,3000,"bu","13:51:07",824500
2000,200,2000,"bu","13:51:01",821500
2000,200,300,"bu","13:50:59",819500
2000,200,700,"bu","13:50:49",819200
2000,200,1000,"bu","13:50:46",818500
2000,200,11000,"bu","13:50:39",817500
2000,200,24400,"bu","13:50:30",806500
2000,200,500,"bu","13:50:29",782100
2000,200,200,"bu","13:50:24",781600
2000,200,8000,"bu","13:49:59",781400
2000,200,1000,"bu","13:49:57",773400
2000,200,100,"bu","13:49:46",772400
2000,200,31000,"bu","13:49:43",772300
2000,200,20000,"bu","13:49:41",741300
2000,200,1000,"bu","13:49:38",721300
2000,200,30000,"bu","13:49:24",720300
2000,200,100,"bu","13:49:12",690300
2000,200,3000,"bu","13:49:02",690200
2000,200,30000,"bu","13:48:57",687200
2000,200,50000,"bu","13:48:51",657200
2000,200,100,"bu","13:48:47",607200
1900,100,100,"sd","13:48:31",607100
2000,200,5000,"bu","13:48:24",607000
2000,200,2500,"bu","13:48:09",602000
2000,200,5000,"bu","13:47:54",599500
2000,200,100,"bu","13:47:34",594500
2000,200,10000,"bu","13:46:58",594400
2000,200,20000,"bu","13:46:43",584400
2000,200,12600,"bu","13:46:27",564400
2000,200,300,"bu","13:45:37",551800
2000,200,200,"bu","13:45:34",551500
2000,200,4300,"bu","13:44:32",551300
2000,200,10000,"bu","13:44:23",547000
2000,200,50000,"bu","13:44:14",537000
1900,100,5400,"sd","13:43:41",487000
2000,200,400,"bu","13:43:19",481600
2000,200,500,"bu","13:43:16",481200
2000,200,500,"bu","13:42:33",480700
2000,200,300,"bu","13:41:59",480200
2000,200,200,"bu","13:41:33",479900
2000,200,37700,"bu","13:39:55",479700
2000,200,20000,"bu","13:39:19",442000
2000,200,20000,"bu","13:38:44",422000
2000,200,100,"bu","13:32:47",402000
2000,200,100,"bu","13:31:36",401900
2000,200,200,"bu","13:30:42",401800
1900,100,100,"sd","13:28:40",401600
2000,200,27700,"bu","13:27:06",401500
2000,200,100,"bu","13:26:32",373800
2000,200,4500,"bu","13:20:21",373700
2000,200,100,"bu","13:10:55",369200
2000,200,100,"bu","13:03:48",369100
2000,200,1000,"bu","13:01:06",369000
2000,200,1500,"bu","13:00:16",368000
2000,200,14400,"bu","13:00:08",366500
2000,200,2000,"bu","13:00:04",352100
2000,200,1000,"bu","13:00:03",350100
2000,200,100,"bu","13:00:02",349100
2000,200,100,"bu","11:29:45",349000
2000,200,200,"bu","11:07:28",348900
2000,200,100,"bu","11:01:29",348700
2000,200,100,"bu","11:01:04",348600
2000,200,100,"bu","10:59:30",348500
2000,200,100,"bu","10:52:50",348400
2000,200,100,"bu","10:43:22",348300
2000,200,100,"bu","10:41:31",348200
2000,200,1000,"bu","10:33:54",348100
2000,200,1100,"bu","10:28:56",347100
2000,200,600,"bu","10:27:31",346000
2000,200,2000,"bu","10:27:22",345400
2000,200,100,"bu","10:26:45",343400
2000,200,100,"bu","10:26:09",343300
2000,200,100,"bu","10:25:46",343200
2000,200,100,"bu","10:25:34",343100
2000,200,300,"bu","10:22:34",343000
2000,200,5000,"bu","10:09:45",342700
2000,200,100,"bu","10:07:25",337700
2000,200,1000,"bu","10:05:30",337600
2000,200,1000,"bu","10:02:21",336600
2000,200,1000,"bu","09:59:58",335600
2000,200,10000,"bu","09:52:20",334600
2000,200,1000,"bu","09:48:43",324600
2000,200,100,"bu","09:48:03",323600
2000,200,5000,"bu","09:45:32",323500
2000,200,3500,"bu","09:35:44",318500
2000,200,3900,"bu","09:32:48",315000
2000,200,10000,"bu","09:31:17",311100
2000,200,300,"bu","09:30:39",301100
2000,200,200,"bu","09:30:08",300800
2000,200,100,"bu","09:29:58",300600
2000,200,3000,"bu","09:29:56",300500
2000,200,200,"bu","09:29:44",297500
2000,200,300,"bu","09:29:23",297300
1900,100,102800,"sd","09:29:04",297000
1900,100,36900,"bu","09:29:01",194200
1900,100,4000,"bu","09:28:48",157300
1900,100,500,"bu","09:28:47",153300
1900,100,17400,"bu","09:28:29",152800
1900,100,1500,"bu","09:27:56",135400
1900,100,500,"bu","09:27:29",133900
1900,100,300,"bu","09:27:26",133400
1900,100,5000,"bu","09:26:16",133100
1900,100,300,"bu","09:25:57",128100
1900,100,200,"bu","09:25:11",127800
1900,100,10000,"bu","09:25:07",127600
1900,100,1000,"bu","09:24:33",117600
1900,100,1000,"bu","09:24:29",116600
1900,100,12600,"bu","09:24:23",115600
1900,100,3000,"bu","09:24:01",103000
1900,100,200,"bu","09:23:23",100000
1900,100,5000,"bu","09:23:01",99800
1900,100,100,"bu","09:22:10",94800
1900,100,7000,"bu","09:21:36",94700
1900,100,3000,"bu","09:20:33",87700
1900,100,200,"bu","09:18:13",84700
1900,100,200,"bu","09:17:56",84500
1900,100,5000,"bu","09:17:49",84300
1900,100,2000,"bu","09:16:29",79300
1900,100,6000,"bu","09:14:23",77300
1900,100,500,"bu","09:14:00",71300
1900,100,200,"bu","09:13:01",70800
1900,100,4000,"bu","09:12:50",70600
1900,100,10000,"bu","09:12:07",66600
1900,100,5000,"bu","09:11:57",56600
1900,100,3900,"bu","09:11:41",51600
1900,100,3000,"bu","09:10:41",47700
1800,0,100,"sd","09:08:34",44700
1900,100,9000,"bu","09:08:30",44600
1900,100,3500,"bu","09:06:59",35600
1800,0,100,"sd","09:06:58",32100
1900,100,300,"bu","09:06:56",32000
1900,100,800,"bu","09:06:00",31700
