"price","change","match_qtty","side","time","total_vol"
18500,0,77200,"unknown","14:45:00",939200
18450,-50,500,"sd","14:29:36",862000
18500,0,100,"bu","14:29:17",861500
18450,-50,300,"sd","14:29:13",861400
18450,-50,200,"sd","14:29:12",861100
18450,-50,100,"sd","14:28:54",860900
18450,-50,400,"sd","14:28:30",860800
18500,0,300,"bu","14:28:06",860400
18500,0,200,"bu","14:27:44",860100
18500,0,100,"bu","14:27:16",859900
18500,0,200,"bu","14:27:12",859800
18500,0,100,"bu","14:26:47",859600
18450,-50,2700,"sd","14:26:42",859500
18500,0,100,"sd","14:26:27",856800
18500,0,200,"sd","14:26:27",856700
18500,0,5000,"sd","14:26:27",856500
18500,0,400,"sd","14:26:27",851500
18500,0,1000,"sd","14:26:14",851100
18500,0,200,"sd","14:26:14",850100
18500,0,1100,"sd","14:26:14",849900
18500,0,200,"sd","14:26:14",848800
18500,0,200,"sd","14:26:14",848600
18500,0,300,"sd","14:26:14",848400
18500,0,2000,"sd","14:26:14",848100
18500,0,500,"sd","14:26:09",846100
18500,0,100,"sd","14:26:09",845600
18500,0,600,"sd","14:26:09",845500
18500,0,3800,"sd","14:26:09",844900
18500,0,1000,"sd","14:26:02",841100
18500,0,300,"sd","14:25:38",840100
18500,0,1500,"sd","14:25:33",839800
18500,0,300,"sd","14:25:24",838300
18500,0,500,"sd","14:25:23",838000
18500,0,300,"sd","14:25:13",837500
18500,0,600,"sd","14:25:04",837200
18500,0,600,"sd","14:24:49",836600
18500,0,300,"sd","14:24:05",836000
18500,0,800,"bu","14:23:40",835700
18500,0,100,"bu","14:23:24",834900
18500,0,100,"bu","14:23:20",834800
18500,0,500,"bu","14:23:20",834700
18500,0,400,"bu","14:23:20",834200
18500,0,1000,"bu","14:23:16",833800
18500,0,1200,"bu","14:23:12",832800
18500,0,2400,"bu","14:23:12",831600
18500,0,300,"bu","14:22:56",829200
18500,0,1000,"bu","14:22:54",828900
18500,0,2000,"sd","14:21:52",827900
18500,0,100,"sd","14:21:52",825900
18500,0,2500,"sd","14:21:52",825800
18500,0,2000,"sd","14:21:52",823300
18500,0,200,"sd","14:21:52",821300
18550,50,700,"bu","14:21:46",821100
18550,50,200,"bu","14:21:46",820400
18550,50,100,"bu","14:21:46",820200
18500,0,100,"sd","14:21:06",820100
