"price","change","match_qtty","side","time","total_vol"
4850,-110,110400,"unknown","14:44:59",2196600
4900,-60,200,"bu","14:29:55",2086200
4900,-60,500,"bu","14:29:38",2086000
4900,-60,9500,"bu","14:29:38",2085500
4870,-90,2800,"sd","14:29:26",2076000
4870,-90,100,"sd","14:29:26",2073200
4870,-90,200,"sd","14:29:26",2073100
4870,-90,500,"sd","14:29:26",2072900
4880,-80,300,"sd","14:29:26",2072400
4880,-80,100,"sd","14:29:26",2072100
4880,-80,1800,"sd","14:29:16",2072000
4880,-80,4800,"bu","14:29:16",2070200
4880,-80,200,"bu","14:29:16",2065400
4880,-80,200,"bu","14:29:16",2065200
4880,-80,200,"bu","14:29:07",2065000
4880,-80,10000,"bu","14:29:05",2064800
4880,-80,10000,"sd","14:29:05",2054800
4880,-80,100,"sd","14:29:05",2044800
4880,-80,200,"sd","14:29:05",2044700
4880,-80,1000,"sd","14:29:05",2044500
4880,-80,1600,"sd","14:29:05",2043500
4880,-80,500,"sd","14:29:05",2041900
4880,-80,5000,"sd","14:29:05",2041400
4880,-80,100,"sd","14:29:05",2036400
4880,-80,100,"sd","14:29:04",2036300
4880,-80,900,"sd","14:29:04",2036200
4890,-70,100,"sd","14:29:04",2035300
4880,-80,1600,"sd","14:29:04",2035200
4890,-70,1000,"sd","14:29:04",2033600
4890,-70,7400,"sd","14:29:04",2032600
4890,-70,100,"bu","14:29:03",2025200
4890,-70,2500,"bu","14:29:03",2025100
4890,-70,100,"bu","14:28:59",2022600
4890,-70,300,"sd","14:28:49",2022500
4890,-70,200,"sd","14:28:49",2022200
4890,-70,1500,"sd","14:28:49",2022000
4890,-70,200,"sd","14:28:49",2020500
4890,-70,100,"sd","14:28:49",2020300
4890,-70,100,"sd","14:28:49",2020200
4900,-60,10000,"bu","14:28:48",2020100
4890,-70,200,"sd","14:28:41",2010100
4890,-70,100,"sd","14:28:41",2009900
4890,-70,100,"sd","14:28:41",2009800
4900,-60,3000,"bu","14:28:36",2009700
4900,-60,1000,"bu","14:28:32",2006700
4900,-60,100,"bu","14:28:28",2005700
4900,-60,400,"bu","14:28:22",2005600
4900,-60,5000,"bu","14:28:21",2005200
4900,-60,1000,"bu","14:28:18",2000200
4900,-60,500,"bu","14:28:18",1999200
4900,-60,100,"bu","14:28:06",1998700
4900,-60,4000,"bu","14:28:04",1998600
4900,-60,100,"bu","14:28:02",1994600
4900,-60,200,"sd","14:27:50",1994500
4900,-60,200,"sd","14:27:50",1994300
4900,-60,200,"sd","14:27:50",1994100
4900,-60,600,"sd","14:27:50",1993900
4900,-60,2000,"sd","14:27:50",1993300
4900,-60,5000,"sd","14:27:50",1991300
4900,-60,2000,"sd","14:27:50",1986300
4900,-60,2000,"sd","14:27:50",1984300
4900,-60,3100,"sd","14:27:50",1982300
4900,-60,3000,"bu","14:27:14",1979200
4900,-60,3900,"bu","14:27:14",1976200
4900,-60,200,"bu","14:27:03",1972300
4900,-60,1000,"bu","14:26:54",1972100
4900,-60,100,"bu","14:26:53",1971100
4900,-60,5100,"bu","14:26:52",1971000
4900,-60,100,"bu","14:26:42",1965900
4900,-60,300,"bu","14:26:38",1965800
4900,-60,3000,"bu","14:26:38",1965500
4900,-60,2500,"bu","14:26:24",1962500
4900,-60,200,"bu","14:26:23",1960000
4900,-60,200,"sd","14:26:21",1959800
4900,-60,1000,"sd","14:26:21",1959600
4900,-60,1000,"sd","14:26:21",1958600
4900,-60,100,"sd","14:26:21",1957600
4900,-60,100,"sd","14:26:21",1957500
4900,-60,200,"sd","14:26:21",1957400
4900,-60,1000,"sd","14:26:21",1957200
4900,-60,26500,"sd","14:26:21",1956200
4900,-60,3500,"sd","14:26:21",1929700
4950,-10,100,"bu","14:26:03",1926200
4900,-60,5000,"sd","14:25:39",1926100
4900,-60,1000,"sd","14:25:39",1921100
4910,-50,10000,"sd","14:25:39",1920100
4920,-40,10000,"sd","14:25:39",1910100
4920,-40,5000,"sd","14:25:39",1900100
4920,-40,1900,"sd","14:25:39",1895100
4930,-30,100,"sd","14:25:39",1893200
4940,-20,1100,"sd","14:25:39",1893100
4940,-20,100,"sd","14:25:39",1892000
4940,-20,100,"sd","14:25:39",1891900
4940,-20,1300,"sd","14:25:39",1891800
4900,-60,2400,"sd","14:25:39",1890500
4900,-60,1000,"sd","14:25:39",1888100
