"price","change","match_qtty","side","time","total_vol"
8700,200,856700,"unknown","14:44:59",46222000
8800,300,3000,"sd","14:29:59",45365300
8800,300,200,"sd","14:29:57",45362300
8800,300,200,"bu","14:29:57",45362100
8800,300,5000,"bu","14:29:57",45361900
8800,300,2900,"bu","14:29:57",45356900
8800,300,100,"bu","14:29:57",45354000
8800,300,300,"bu","14:29:56",45353900
8800,300,3000,"bu","14:29:55",45353600
8800,300,200,"sd","14:29:54",45350600
8810,310,1300,"sd","14:29:51",45350400
8810,310,4000,"sd","14:29:51",45349100
8810,310,300,"sd","14:29:49",45345100
8810,310,2000,"bu","14:29:48",45344800
8810,310,700,"bu","14:29:48",45342800
8810,310,2000,"bu","14:29:48",45342100
8800,300,100,"unknown","14:29:46",45340100
8800,300,700,"unknown","14:29:46",45340000
8800,300,1300,"bu","14:29:44",45339300
8800,300,2000,"sd","14:29:43",45338000
8800,300,1000,"sd","14:29:43",45336000
8810,310,1000,"bu","14:29:43",45335000
8800,300,3000,"sd","14:29:41",45334000
8800,300,800,"bu","14:29:39",45331000
8700,200,5000,"sd","14:29:36",45330200
8700,200,1500,"sd","14:29:36",45325200
8700,200,4500,"sd","14:29:36",45323700
8700,200,1000,"sd","14:29:36",45319200
8700,200,1000,"sd","14:29:36",45318200
8700,200,1000,"sd","14:29:36",45317200
8700,200,100,"sd","14:29:36",45316200
8700,200,100,"sd","14:29:36",45316100
8700,200,1000,"sd","14:29:36",45316000
8700,200,100,"sd","14:29:36",45315000
8700,200,500,"sd","14:29:36",45314900
8700,200,200,"sd","14:29:36",45314400
8690,190,2500,"sd","14:29:36",45314200
8700,200,1000,"sd","14:29:36",45311700
8700,200,1400,"sd","14:29:36",45310700
8700,200,1000,"sd","14:29:36",45309300
8740,240,200,"sd","14:29:36",45308300
8700,200,1000,"sd","14:29:36",45308100
8760,260,600,"sd","14:29:36",45307100
8770,270,30000,"sd","14:29:36",45306500
8700,200,1000,"sd","14:29:36",45276500
8700,200,1000,"sd","14:29:36",45275500
8700,200,500,"sd","14:29:36",45274500
8700,200,25300,"sd","14:29:36",45274000
8700,200,2000,"sd","14:29:36",45248700
8700,200,10000,"sd","14:29:36",45246700
8700,200,1500,"sd","14:29:36",45236700
8700,200,3500,"sd","14:29:36",45235200
8700,200,1500,"sd","14:29:36",45231700
8810,310,2000,"sd","14:29:34",45230200
8810,310,1000,"sd","14:29:34",45228200
8800,300,2000,"bu","14:29:33",45227200
8820,320,200,"bu","14:29:32",45225200
8810,310,200,"bu","14:29:32",45225000
8810,310,1500,"bu","14:29:32",45224800
8810,310,1000,"bu","14:29:32",45223300
8800,300,5000,"bu","14:29:32",45222300
8800,300,2100,"bu","14:29:32",45217300
8800,300,1000,"bu","14:29:30",45215200
8770,270,4700,"sd","14:29:30",45214200
8790,290,300,"sd","14:29:30",45209500
8800,300,2000,"bu","14:29:30",45209200
8800,300,39700,"sd","14:29:30",45207200
8800,300,300,"sd","14:29:30",45167500
8800,300,18900,"sd","14:29:30",45167200
8800,300,9700,"sd","14:29:22",45148300
8810,310,100,"sd","14:29:22",45138600
8810,310,1000,"sd","14:29:22",45138500
8810,310,500,"sd","14:29:22",45137500
8810,310,200,"sd","14:29:22",45137000
8810,310,800,"sd","14:29:22",45136800
8810,310,2700,"sd","14:29:22",45136000
8810,310,200,"bu","14:29:17",45133300
8810,310,7100,"bu","14:29:17",45133100
8700,200,100,"sd","14:29:17",45126000
8700,200,1000,"sd","14:29:17",45125900
8700,200,1000,"sd","14:29:17",45124900
8700,200,100,"sd","14:29:17",45123900
8700,200,5000,"sd","14:29:17",45123800
8700,200,300,"sd","14:29:17",45118800
8700,200,100,"sd","14:29:17",45118500
8700,200,2400,"sd","14:29:17",45118400
8700,200,5000,"sd","14:29:17",45116000
8700,200,200,"sd","14:29:17",45111000
8700,200,500,"sd","14:29:17",45110800
8700,200,3000,"sd","14:29:17",45110300
8700,200,100,"sd","14:29:17",45107300
8700,200,5000,"sd","14:29:17",45107200
8700,200,500,"sd","14:29:17",45102200
8700,200,500,"sd","14:29:17",45101700
8700,200,1000,"sd","14:29:17",45101200
8700,200,11400,"sd","14:29:17",45100200
8700,200,1100,"sd","14:29:17",45088800
8700,200,100,"sd","14:29:17",45087700
8700,200,400,"sd","14:29:17",45087600
8700,200,200,"sd","14:29:17",45087200
8720,220,2000,"sd","14:29:17",45087000
8700,200,300,"sd","14:29:17",45085000
8720,220,1000,"sd","14:29:17",45084700
8700,200,100,"sd","14:29:17",45083700
8720,220,13100,"sd","14:29:17",45083600
8720,220,200,"sd","14:29:17",45070500
8710,210,11000,"sd","14:29:17",45070300
8700,200,5000,"sd","14:29:17",45059300
8700,200,100,"sd","14:29:17",45054300
8710,210,10400,"sd","14:29:17",45054200
8700,200,200,"sd","14:29:17",45043800
8710,210,1000,"sd","14:29:17",45043600
8710,210,2800,"sd","14:29:17",45042600
8710,210,11600,"sd","14:29:17",45039800
8710,210,1000,"sd","14:29:17",45028200
8730,230,2000,"sd","14:29:17",45027200
8710,210,1900,"sd","14:29:17",45025200
8710,210,10500,"sd","14:29:17",45023300
8700,200,500,"sd","14:29:17",45012800
8700,200,1000,"sd","14:29:17",45012300
8730,230,5000,"sd","14:29:17",45011300
8700,200,1000,"sd","14:29:17",45006300
8700,200,1000,"sd","14:29:17",45005300
8730,230,2000,"sd","14:29:17",45004300
8700,200,300,"sd","14:29:17",45002300
8700,200,1500,"sd","14:29:17",45002000
8700,200,3000,"sd","14:29:17",45000500
8740,240,3800,"sd","14:29:17",44997500
8710,210,600,"sd","14:29:17",44993700
8700,200,10300,"sd","14:29:17",44993100
8750,250,2000,"sd","14:29:17",44982800
8740,240,8000,"sd","14:29:17",44980800
8710,210,1000,"sd","14:29:17",44972800
8750,250,500,"sd","14:29:17",44971800
8710,210,1000,"sd","14:29:17",44971300
8750,250,200,"sd","14:29:17",44970300
8780,280,6000,"sd","14:29:17",44970100
8750,250,1000,"sd","14:29:17",44964100
8710,210,9700,"sd","14:29:17",44963100
8720,220,900,"sd","14:29:17",44953400
8780,280,10200,"sd","14:29:17",44952500
8750,250,1000,"sd","14:29:17",44942300
8780,280,7000,"sd","14:29:17",44941300
8750,250,500,"sd","14:29:17",44934300
8750,250,1000,"sd","14:29:17",44933800
8780,280,600,"sd","14:29:17",44932800
8750,250,1000,"sd","14:29:17",44932200
8720,220,500,"sd","14:29:17",44931200
8750,250,2000,"sd","14:29:17",44930700
8780,280,3000,"sd","14:29:17",44928700
8720,220,4000,"sd","14:29:17",44925700
8750,250,1000,"sd","14:29:17",44921700
8750,250,100,"sd","14:29:17",44920700
8720,220,2000,"sd","14:29:17",44920600
8780,280,2300,"sd","14:29:17",44918600
8720,220,5000,"sd","14:29:17",44916300
8790,290,200,"sd","14:29:17",44911300
8790,290,500,"sd","14:29:17",44911100
8750,250,3000,"sd","14:29:17",44910600
8790,290,1000,"sd","14:29:17",44907600
8750,250,500,"sd","14:29:17",44906600
8760,260,2000,"sd","14:29:17",44906100
8760,260,1000,"sd","14:29:17",44904100
8790,290,100,"sd","14:29:17",44903100
8760,260,500,"sd","14:29:17",44903000
8790,290,200,"sd","14:29:17",44902500
8790,290,200,"sd","14:29:17",44902300
8760,260,20000,"sd","14:29:17",44902100
8790,290,5000,"sd","14:29:17",44882100
8760,260,5000,"sd","14:29:17",44877100
8790,290,6400,"sd","14:29:17",44872100
8760,260,500,"sd","14:29:17",44865700
8800,300,2000,"sd","14:29:17",44865200
8780,280,1000,"sd","14:29:17",44863200
8800,300,100,"sd","14:29:17",44862200
8780,280,1000,"sd","14:29:17",44862100
8800,300,5000,"sd","14:29:17",44861100
8780,280,1000,"sd","14:29:17",44856100
8800,300,15000,"sd","14:29:17",44855100
8780,280,100,"sd","14:29:17",44840100
8800,300,10000,"sd","14:29:17",44840000
8780,280,200,"sd","14:29:17",44830000
8800,300,100,"sd","14:29:17",44829800
8780,280,1500,"sd","14:29:17",44829700
8800,300,200,"sd","14:29:17",44828200
8780,280,1000,"sd","14:29:17",44828000
8800,300,200,"sd","14:29:17",44827000
8800,300,1000,"sd","14:29:17",44826800
8800,300,100,"sd","14:29:17",44825800
8800,300,100,"sd","14:29:17",44825700
8800,300,2000,"sd","14:29:17",44825600
8800,300,2000,"sd","14:29:17",44823600
8800,300,2000,"sd","14:29:17",44821600
8800,300,3600,"sd","14:29:17",44819600
8800,300,1400,"sd","14:29:15",44816000
8800,300,18600,"sd","14:29:15",44814600
8800,300,7000,"sd","14:29:15",44796000
8800,300,1000,"sd","14:29:15",44789000
8800,300,2000,"sd","14:29:15",44788000
8800,300,1000,"sd","14:29:15",44786000
8800,300,4000,"sd","14:29:15",44785000
8800,300,2600,"sd","14:29:15",44781000
8800,300,2400,"sd","14:29:15",44778400
8810,310,100,"bu","14:29:14",44776000
8810,310,3000,"bu","14:29:10",44775900
8810,310,1800,"bu","14:29:09",44772900
8810,310,20000,"bu","14:29:07",44771100
8800,300,1000,"sd","14:29:07",44751100
8800,300,1600,"sd","14:29:07",44750100
8800,300,100,"sd","14:29:07",44748500
8800,300,3300,"sd","14:29:07",44748400
8810,310,8000,"bu","14:29:06",44745100
8810,310,9000,"bu","14:29:05",44737100
8810,310,1000,"bu","14:29:05",44728100
8810,310,1000,"bu","14:29:05",44727100
8810,310,1000,"bu","14:29:02",44726100
8800,300,100,"sd","14:29:01",44725100
8810,310,300,"bu","14:28:58",44725000
8810,310,10000,"bu","14:28:58",44724700
8810,310,1000,"bu","14:28:56",44714700
8800,300,100,"sd","14:28:54",44713700
8810,310,300,"bu","14:28:53",44713600
8810,310,2000,"bu","14:28:48",44713300
8800,300,1500,"sd","14:28:45",44711300
8800,300,2000,"sd","14:28:42",44709800
8800,300,10000,"sd","14:28:39",44707800
8810,310,1000,"bu","14:28:38",44697800
8810,310,200,"bu","14:28:36",44696800
8800,300,3000,"bu","14:28:33",44696600
8800,300,400,"sd","14:28:33",44693600
8800,300,100,"sd","14:28:33",44693200
8800,300,100,"sd","14:28:33",44693100
8800,300,1000,"sd","14:28:33",44693000
8800,300,400,"sd","14:28:33",44692000
8800,300,4600,"sd","14:28:30",44691600
8800,300,500,"sd","14:28:30",44687000
8800,300,200,"sd","14:28:30",44686500
8800,300,500,"sd","14:28:30",44686300
8800,300,200,"sd","14:28:30",44685800
8800,300,500,"sd","14:28:30",44685600
8800,300,1000,"sd","14:28:30",44685100
8800,300,200,"sd","14:28:30",44684100
8800,300,1000,"sd","14:28:30",44683900
8800,300,500,"sd","14:28:30",44682900
8800,300,800,"sd","14:28:30",44682400
8800,300,500,"sd","14:28:24",44681600
8820,320,2800,"bu","14:28:22",44681100
8800,300,100,"sd","14:28:19",44678300
8800,300,5800,"sd","14:28:19",44678200
8810,310,500,"sd","14:28:19",44672400
8810,310,100,"sd","14:28:19",44671900
8810,310,1500,"sd","14:28:19",44671800
8810,310,500,"bu","14:28:16",44670300
8810,310,500,"bu","14:28:14",44669800
8810,310,500,"bu","14:28:14",44669300
8810,310,1000,"bu","14:28:14",44668800
8800,300,1000,"sd","14:28:10",44667800
8800,300,1000,"sd","14:28:08",44666800
8800,300,2000,"bu","14:28:03",44665800
8800,300,200,"bu","14:28:03",44663800
8800,300,500,"bu","14:28:02",44663600
8800,300,10000,"bu","14:28:01",44663100
8800,300,100,"bu","14:28:01",44653100
8800,300,4200,"bu","14:28:01",44653000
8800,300,800,"bu","14:28:01",44648800
8800,300,100,"bu","14:28:01",44648000
8790,290,1000,"sd","14:27:57",44647900
8800,300,100,"bu","14:27:53",44646900
8800,300,1000,"bu","14:27:53",44646800
8790,290,2600,"sd","14:27:49",44645800
8790,290,3200,"sd","14:27:49",44643200
8800,300,1000,"sd","14:27:49",44640000
8810,310,200,"sd","14:27:49",44639000
8810,310,3000,"sd","14:27:49",44638800
8810,310,1000,"bu","14:27:45",44635800
8810,310,3000,"bu","14:27:45",44634800
8810,310,6400,"bu","14:27:44",44631800
8800,300,2600,"bu","14:27:44",44625400
8800,300,1000,"bu","14:27:43",44622800
8800,300,500,"sd","14:27:43",44621800
8800,300,3000,"sd","14:27:43",44621300
8800,300,200,"sd","14:27:43",44618300
8800,300,100,"sd","14:27:43",44618100
8800,300,100,"sd","14:27:43",44618000
8800,300,200,"sd","14:27:43",44617900
8800,300,100,"sd","14:27:43",44617700
8800,300,1500,"sd","14:27:43",44617600
8800,300,200,"sd","14:27:43",44616100
8800,300,500,"sd","14:27:43",44615900
8800,300,100,"sd","14:27:43",44615400
8800,300,100,"sd","14:27:43",44615300
8800,300,4800,"sd","14:27:43",44615200
8800,300,3000,"sd","14:27:39",44610400
8810,310,500,"bu","14:27:39",44607400
8800,300,100,"sd","14:27:35",44606900
8810,310,100,"bu","14:27:33",44606800
8800,300,3000,"sd","14:27:27",44606700
8800,300,7100,"sd","14:27:25",44603700
8800,300,5000,"sd","14:27:25",44596600
8800,300,100,"sd","14:27:25",44591600
8800,300,5000,"sd","14:27:25",44591500
8800,300,1000,"sd","14:27:25",44586500
8800,300,200,"sd","14:27:25",44585500
8810,310,200,"sd","14:27:25",44585300
8810,310,21400,"sd","14:27:25",44585100
8820,320,100,"bu","14:27:23",44563700
8810,310,500,"sd","14:27:21",44563600
8810,310,1000,"sd","14:27:21",44563100
8810,310,500,"sd","14:27:21",44562100
8810,310,2200,"sd","14:27:21",44561600
8800,300,100,"sd","14:27:20",44559400
8800,300,500,"sd","14:27:20",44559300
8800,300,1400,"sd","14:27:20",44558800
8800,300,2700,"sd","14:27:20",44557400
8810,310,500,"bu","14:27:19",44554700
8810,310,100,"bu","14:27:18",44554200
8800,300,200,"sd","14:27:18",44554100
8810,310,1500,"bu","14:27:16",44553900
8810,310,1300,"bu","14:27:14",44552400
8810,310,200,"bu","14:27:12",44551100
8810,310,100,"bu","14:27:10",44550900
8810,310,100,"bu","14:27:10",44550800
8810,310,500,"bu","14:27:07",44550700
8800,300,200,"sd","14:27:06",44550200
8810,310,400,"bu","14:27:03",44550000
8800,300,5500,"sd","14:27:01",44549600
