"price","change","match_qtty","side","time","total_vol"
21800,-1700,100,"bu","14:45:00",8500
21300,-2200,300,"sd","13:45:45",8400
21300,-2200,100,"sd","13:19:37",8100
21800,-1700,100,"bu","13:19:13",8000
21800,-1700,100,"bu","13:17:31",7900
21400,-2100,1600,"unknown","13:16:34",7800
21400,-2100,100,"bu","13:16:08",6200
21400,-2100,100,"bu","13:00:03",6100
21300,-2200,100,"sd","10:37:58",6000
21400,-2100,200,"bu","10:37:07",5900
21400,-2100,3000,"bu","10:29:33",5700
21300,-2200,100,"sd","09:49:55",2700
21300,-2200,100,"sd","09:47:30",2600
21300,-2200,100,"unknown","09:25:28",2500
21300,-2200,800,"sd","09:16:38",2400
21300,-2200,100,"unknown","09:15:44",1600
21300,-2200,400,"sd","09:15:26",1500
21300,-2200,400,"bu","09:15:15",1100
21300,-2200,100,"sd","09:12:21",700
21300,-2200,600,"unknown","09:09:29",600
