"price","change","match_qtty","side","time","total_vol"
150500,-1500,200,"unknown","14:45:02",12600
150500,-1500,100,"sd","14:28:40",12400
150500,-1500,200,"unknown","14:19:59",12300
150500,-1500,200,"sd","14:17:59",12100
150500,-1500,200,"sd","14:16:53",11900
150500,-1500,200,"sd","14:16:13",11700
150700,-1300,400,"sd","14:14:35",11500
150800,-1200,300,"unknown","14:14:18",11100
150700,-1300,200,"sd","13:52:50",10800
150500,-1500,1100,"sd","13:35:19",10600
150800,-1200,900,"sd","13:19:09",9500
150800,-1200,1100,"sd","13:18:47",8600
150700,-1300,300,"sd","13:11:12",7500
150800,-1200,200,"unknown","13:10:36",7200
150800,-1200,1000,"sd","13:05:14",7000
151000,-1000,100,"sd","13:00:33",6000
151200,-800,100,"bu","13:00:03",5900
151100,-900,500,"sd","11:25:11",5800
151200,-800,500,"unknown","11:22:28",5300
151200,-800,200,"sd","11:21:46",4800
151100,-900,200,"sd","10:21:46",4600
151200,-800,800,"unknown","10:11:38",4400
151100,-900,100,"unknown","09:56:32",3600
151100,-900,900,"sd","09:54:49",3500
151900,-100,200,"bu","09:26:00",2600
151900,-100,100,"bu","09:23:04",2400
151900,-100,200,"bu","09:22:43",2300
151900,-100,100,"bu","09:17:43",2100
151900,-100,100,"bu","09:15:27",2000
152000,0,200,"unknown","09:10:57",1900
152000,0,200,"bu","09:09:16",1700
152000,0,500,"unknown","09:06:24",1500
152000,0,500,"bu","09:05:43",1000
152000,0,500,"bu","09:05:01",500
