"price","change","match_qtty","side","time","total_vol"
12850,-50,100,"bu","14:45:04",4200
12800,-100,300,"bu","13:44:10",4100
12800,-100,200,"sd","13:37:35",3800
12750,-150,500,"sd","13:21:47",3600
12750,-150,100,"sd","13:01:47",3100
12800,-100,100,"sd","13:01:14",3000
12800,-100,100,"sd","13:01:14",2900
12800,-100,500,"sd","13:01:14",2800
12800,-100,100,"sd","13:00:16",2300
12800,-100,200,"sd","11:17:26",2200
12800,-100,200,"sd","11:16:57",2000
12800,-100,200,"sd","11:16:57",1800
12800,-100,100,"sd","11:16:57",1600
12800,-100,100,"sd","10:21:41",1500
12800,-100,100,"sd","10:21:41",1400
12800,-100,100,"sd","10:21:41",1300
12900,0,100,"sd","09:59:44",1200
12900,0,200,"sd","09:53:31",1100
12900,0,100,"sd","09:53:31",900
12900,0,100,"bu","09:24:55",800
12750,-150,600,"sd","09:21:20",700
12800,-100,100,"sd","09:21:20",100
