"price","change","match_qtty","side","time","total_vol"
9580,-180,7300,"sd","14:45:00",298100
9610,-150,200,"sd","14:29:51",290800
9600,-160,500,"bu","14:28:35",290600
9600,-160,500,"bu","14:28:35",290100
9600,-160,1000,"bu","14:28:35",289600
9600,-160,300,"bu","14:28:27",288600
9600,-160,200,"bu","14:28:24",288300
9600,-160,400,"bu","14:27:58",288100
9550,-210,400,"sd","14:25:04",287700
9550,-210,1000,"sd","14:20:54",287300
9560,-200,100,"sd","14:19:44",286300
9580,-180,1000,"sd","14:19:13",286200
9600,-160,100,"sd","14:15:25",285200
9600,-160,3000,"sd","14:15:25",285100
9600,-160,10000,"sd","14:15:25",282100
9600,-160,2000,"sd","14:15:25",272100
9600,-160,200,"sd","14:15:25",270100
9600,-160,100,"sd","14:15:25",269900
9610,-150,2000,"sd","14:15:25",269800
9610,-150,200,"sd","14:15:25",267800
9610,-150,500,"sd","14:15:25",267600
9610,-150,200,"sd","14:15:18",267100
9640,-120,200,"bu","14:14:36",266900
9640,-120,100,"sd","14:13:25",266700
9640,-120,400,"sd","14:13:25",266600
9640,-120,100,"sd","14:12:40",266200
9640,-120,100,"sd","14:12:40",266100
9680,-80,500,"bu","14:10:08",266000
9650,-110,2000,"bu","14:08:44",265500
9640,-120,300,"bu","14:08:33",263500
9640,-120,200,"bu","14:08:29",263200
9640,-120,300,"bu","14:07:31",263000
9640,-120,100,"bu","14:07:02",262700
9640,-120,100,"bu","14:06:48",262600
9600,-160,900,"bu","14:04:15",262500
9600,-160,1000,"bu","14:04:15",261600
9600,-160,500,"bu","14:03:30",260600
9590,-170,100,"bu","14:03:09",260100
9600,-160,500,"sd","14:00:49",260000
9600,-160,300,"sd","14:00:46",259500
9600,-160,1000,"sd","14:00:29",259200
9600,-160,1000,"sd","13:59:41",258200
9600,-160,100,"sd","13:57:24",257200
9600,-160,300,"bu","13:56:55",257100
9600,-160,1300,"bu","13:56:55",256800
9590,-170,200,"bu","13:55:18",255500
9550,-210,1300,"sd","13:54:39",255300
9590,-170,200,"bu","13:53:34",254000
9600,-160,700,"bu","13:51:33",253800
9600,-160,300,"bu","13:51:33",253100
9600,-160,500,"bu","13:45:24",252800
9600,-160,200,"sd","13:44:27",252300
9600,-160,1000,"sd","13:44:26",252100
9600,-160,200,"sd","13:42:20",251100
9600,-160,800,"sd","13:42:20",250900
9600,-160,1200,"bu","13:41:48",250100
9600,-160,200,"bu","13:41:48",248900
9590,-170,300,"bu","13:41:48",248700
9580,-180,1500,"bu","13:40:13",248400
9600,-160,2000,"bu","13:40:13",246900
9590,-170,500,"bu","13:40:13",244900
9500,-260,2700,"bu","13:36:53",244400
9500,-260,300,"bu","13:36:46",241700
9500,-260,2000,"bu","13:36:35",241400
9480,-280,700,"bu","13:35:31",239400
9440,-320,100,"bu","13:31:11",238700
9440,-320,1900,"sd","13:31:01",238600
9480,-280,100,"unknown","13:27:25",236700
9480,-280,100,"sd","13:27:07",236600
9480,-280,200,"sd","13:27:07",236500
9480,-280,100,"sd","13:27:07",236300
9480,-280,300,"sd","13:27:07",236200
9480,-280,100,"sd","13:23:00",235900
9480,-280,100,"bu","13:21:30",235800
9480,-280,300,"bu","13:20:35",235700
9480,-280,100,"bu","13:20:35",235400
9480,-280,5000,"unknown","13:20:35",235300
9500,-260,500,"sd","13:20:35",230300
9500,-260,500,"bu","13:17:15",229800
9500,-260,500,"bu","13:16:38",229300
9480,-280,1000,"sd","13:16:03",228800
9480,-280,4500,"bu","13:15:03",227800
9480,-280,500,"bu","13:15:03",223300
9480,-280,1000,"bu","13:15:03",222800
9480,-280,200,"bu","13:13:47",221800
9480,-280,100,"bu","13:07:25",221600
9310,-450,1800,"sd","13:01:14",221500
9350,-410,200,"sd","13:01:14",219700
9310,-450,100,"sd","13:00:17",219500
9310,-450,1200,"sd","13:00:17",219400
9320,-440,1000,"sd","13:00:17",218200
9320,-440,700,"sd","13:00:17",217200
9330,-430,300,"sd","13:00:17",216500
9400,-360,1700,"sd","13:00:17",216200
9400,-360,300,"bu","13:00:08",214500
9400,-360,200,"bu","11:28:15",214200
9400,-360,800,"bu","11:28:15",214000
9400,-360,100,"bu","11:26:03",213200
9310,-450,3800,"sd","11:25:23",213100
9310,-450,100,"sd","11:25:23",209300
9310,-450,500,"sd","11:25:23",209200
9310,-450,500,"sd","11:25:23",208700
9310,-450,1000,"sd","11:25:23",208200
9320,-440,1300,"sd","11:25:23",207200
9320,-440,500,"sd","11:25:23",205900
9320,-440,100,"sd","11:25:23",205400
9320,-440,100,"sd","11:25:23",205300
9320,-440,100,"sd","11:25:23",205200
9400,-360,1100,"bu","11:24:40",205100
9400,-360,1000,"bu","11:24:40",204000
9400,-360,1900,"bu","11:24:40",203000
9320,-440,700,"bu","11:20:47",201100
9320,-440,300,"bu","11:20:44",200400
9320,-440,200,"bu","11:20:44",200100
9320,-440,1000,"bu","11:20:39",199900
9320,-440,1200,"bu","11:20:32",198900
9320,-440,500,"bu","11:19:57",197700
9320,-440,100,"bu","11:19:00",197200
9310,-450,500,"sd","11:18:46",197100
9310,-450,1000,"sd","11:18:46",196600
9320,-440,100,"bu","11:18:39",195600
9320,-440,100,"bu","11:18:22",195500
9320,-440,500,"bu","11:17:13",195400
9320,-440,4000,"bu","11:16:57",194900
9320,-440,100,"bu","11:16:57",190900
9320,-440,500,"sd","11:15:47",190800
9320,-440,3000,"sd","11:15:47",190300
9350,-410,500,"bu","11:15:25",187300
9350,-410,500,"bu","11:15:15",186800
9350,-410,500,"sd","11:15:15",186300
9350,-410,500,"sd","11:15:15",185800
9350,-410,200,"sd","11:15:15",185300
9350,-410,1100,"sd","11:15:15",185100
9350,-410,900,"sd","11:12:50",184000
9350,-410,500,"sd","11:12:50",183100
9350,-410,100,"sd","11:12:50",182600
9350,-410,1100,"sd","11:12:50",182500
9350,-410,1000,"sd","11:12:50",181400
9350,-410,100,"sd","11:12:50",180400
9350,-410,100,"sd","11:12:50",180300
9350,-410,1000,"sd","11:12:50",180200
9360,-400,100,"sd","11:12:50",179200
9400,-360,100,"bu","11:12:24",179100
9400,-360,100,"sd","11:10:42",179000
9400,-360,1200,"sd","11:10:42",178900
9400,-360,1000,"sd","11:09:35",177700
9400,-360,300,"sd","11:09:35",176700
9400,-360,700,"sd","11:09:35",176400
9400,-360,300,"sd","11:09:31",175700
9410,-350,100,"bu","11:09:25",175400
9410,-350,5000,"bu","11:09:00",175300
9400,-360,900,"sd","11:06:47",170300
9400,-360,100,"sd","11:05:58",169400
9400,-360,100,"sd","11:05:58",169300
9400,-360,200,"sd","11:05:58",169200
9400,-360,100,"sd","11:05:58",169000
9400,-360,700,"sd","11:05:58",168900
9400,-360,800,"sd","11:05:58",168200
9410,-350,5000,"bu","11:04:43",167400
9400,-360,1200,"sd","11:04:25",162400
9400,-360,800,"sd","11:04:25",161200
9400,-360,100,"sd","11:04:12",160400
9400,-360,1000,"sd","11:04:11",160300
9410,-350,100,"bu","11:01:09",159300
9410,-350,500,"sd","11:00:58",159200
9410,-350,1200,"sd","11:00:58",158700
9410,-350,5000,"sd","11:00:58",157500
9520,-240,500,"bu","10:57:49",152500
9450,-310,500,"bu","10:57:49",152000
9400,-360,100,"sd","10:56:53",151500
9400,-360,200,"sd","10:56:53",151400
9400,-360,300,"sd","10:56:53",151200
9400,-360,300,"sd","10:56:53",150900
9400,-360,1500,"sd","10:56:53",150600
9400,-360,500,"sd","10:56:53",149100
9410,-350,500,"sd","10:56:53",148600
9420,-340,100,"sd","10:56:53",148100
9440,-320,300,"sd","10:56:53",148000
