"price","change","match_qtty","side","time","total_vol"
10950,-50,2000,"sd","14:45:01",39400
11000,0,400,"bu","14:29:02",37400
11000,0,600,"bu","14:28:51",37000
11000,0,5200,"bu","14:28:51",36400
11000,0,100,"bu","14:23:22",31200
11000,0,1000,"bu","14:22:32",31100
11000,0,200,"bu","14:21:33",30100
11000,0,100,"bu","14:18:54",29900
11000,0,300,"bu","14:13:28",29800
11000,0,4100,"bu","14:12:10",29500
11000,0,300,"bu","14:12:10",25400
11000,0,100,"bu","14:12:10",25100
11000,0,200,"bu","14:12:10",25000
11000,0,300,"bu","14:12:10",24800
10950,-50,100,"sd","14:07:18",24500
10950,-50,100,"sd","14:07:18",24400
10950,-50,100,"sd","13:46:11",24300
10950,-50,100,"sd","13:45:01",24200
10900,-100,900,"sd","13:34:15",24100
10900,-100,200,"sd","13:29:07",23200
10900,-100,1400,"sd","13:25:23",23000
10950,-50,100,"sd","13:25:23",21600
10950,-50,100,"sd","13:25:23",21500
10950,-50,700,"sd","13:25:23",21400
10950,-50,400,"bu","13:18:13",20700
10950,-50,1600,"bu","13:18:13",20300
10950,-50,300,"bu","13:11:40",18700
10900,-100,2400,"sd","13:11:09",18400
10900,-100,100,"sd","13:11:09",16000
10900,-100,100,"sd","13:11:09",15900
10900,-100,500,"sd","13:11:09",15800
10900,-100,5000,"sd","13:11:09",15300
10900,-100,1000,"sd","13:11:09",10300
10900,-100,100,"sd","13:11:09",9300
10900,-100,800,"sd","13:11:09",9200
10900,-100,200,"sd","11:22:01",8400
10900,-100,500,"sd","11:22:01",8200
10900,-100,500,"sd","11:22:01",7700
10950,-50,1000,"bu","11:14:02",7200
10950,-50,100,"sd","11:10:23",6200
10950,-50,100,"sd","10:54:55",6100
10950,-50,1000,"sd","10:50:20",6000
10950,-50,300,"sd","10:50:20",5000
10950,-50,300,"sd","10:45:28",4700
10950,-50,400,"sd","10:36:21",4400
10950,-50,1000,"sd","10:35:07",4000
11000,0,400,"bu","10:20:08",3000
11000,0,600,"bu","10:20:08",2600
10950,-50,100,"sd","10:10:24",2000
10950,-50,500,"sd","10:03:34",1900
10950,-50,200,"sd","10:03:34",1400
11000,0,100,"sd","09:32:30",1200
11000,0,900,"sd","09:32:30",1100
11000,0,100,"sd","09:25:51",200
11000,0,100,"sd","09:25:51",100
