"price","change","match_qtty","side","time","total_vol"
2900,100,5000,"bu","14:53:02",130900
2900,100,2000,"bu","14:36:47",125900
2900,100,100,"bu","14:27:30",123900
2900,100,200,"bu","14:17:35",123800
2900,100,600,"bu","14:14:18",123600
2900,100,7000,"bu","14:12:42",123000
2800,0,12500,"sd","14:11:52",116000
2800,0,10000,"sd","14:03:40",103500
2900,100,1000,"bu","14:00:33",93500
2900,100,2000,"bu","14:00:08",92500
2800,0,1700,"sd","14:00:07",90500
2800,0,29900,"sd","13:46:36",88800
2800,0,1000,"sd","13:37:52",58900
2800,0,10000,"sd","13:33:59",57900
2800,0,10000,"sd","13:31:56",47900
2800,0,6000,"sd","13:31:21",37900
2800,0,100,"sd","13:30:23",31900
2800,0,200,"sd","13:27:59",31800
2900,100,1000,"bu","13:13:13",31600
2900,100,200,"bu","13:00:10",30600
2900,100,400,"bu","11:28:56",30400
2900,100,1000,"bu","11:21:41",30000
2900,100,1000,"bu","10:52:33",29000
2900,100,1000,"bu","10:49:54",28000
2900,100,10000,"bu","10:48:07",27000
2900,100,500,"bu","10:33:19",17000
2900,100,2000,"bu","10:16:14",16500
2800,0,3000,"sd","10:06:12",14500
2800,0,3500,"sd","10:05:01",11500
2800,0,3000,"sd","09:40:26",8000
2800,0,3000,"sd","09:38:53",5000
2800,0,2000,"sd","09:18:18",2000
