"price","change","match_qtty","side","time","total_vol"
8120,-580,100,"sd","14:45:01",12100
8110,-590,5000,"bu","13:50:59",12000
8110,-590,200,"bu","13:22:18",7000
8110,-590,100,"bu","13:17:24",6800
8110,-590,400,"bu","13:17:02",6700
8110,-590,400,"bu","13:15:00",6300
8110,-590,800,"bu","13:00:03",5900
8110,-590,1000,"bu","13:00:03",5100
8110,-590,100,"bu","13:00:03",4100
8110,-590,600,"bu","13:00:03",4000
8110,-590,100,"bu","13:00:03",3400
8120,-580,300,"bu","13:00:03",3300
8120,-580,100,"bu","13:00:02",3000
8110,-590,600,"bu","13:00:02",2900
8110,-590,300,"bu","13:00:02",2300
8110,-590,500,"bu","10:10:58",2000
8110,-590,200,"bu","10:10:56",1500
8110,-590,1100,"sd","10:10:45",1300
8130,-570,100,"sd","10:10:45",200
8140,-560,100,"sd","10:10:45",100
