"price","change","match_qtty","side","time","total_vol"
14950,50,4000,"sd","14:45:01",47200
15000,100,100,"bu","14:24:42",43200
14950,50,100,"bu","14:22:37",43100
14950,50,400,"sd","14:15:56",43000
14950,50,600,"sd","14:13:19",42600
15000,100,300,"bu","14:03:34",42000
15000,100,100,"bu","13:46:11",41700
15000,100,100,"bu","13:46:11",41600
15000,100,100,"bu","13:38:37",41500
14950,50,100,"sd","13:34:50",41400
15000,100,100,"bu","13:13:01",41300
15000,100,800,"bu","13:11:40",41200
15000,100,200,"bu","13:11:40",40400
15000,100,400,"bu","13:11:40",40200
15000,100,500,"bu","13:11:40",39800
15000,100,100,"bu","13:11:40",39300
14950,50,500,"sd","13:11:21",39200
14950,50,100,"sd","13:06:11",38700
14950,50,800,"bu","13:01:42",38600
14950,50,100,"bu","13:01:42",37800
14950,50,700,"sd","13:00:16",37700
14950,50,100,"sd","13:00:02",37000
15000,100,100,"bu","11:06:28",36900
15000,100,100,"bu","11:00:16",36800
15000,100,100,"bu","10:50:36",36700
15000,100,600,"bu","10:50:22",36600
15000,100,1400,"bu","10:50:22",36000
14950,50,500,"sd","10:45:04",34600
15000,100,700,"sd","10:44:00",34100
15000,100,2000,"bu","10:40:21",33400
15000,100,300,"bu","10:40:21",31400
15000,100,200,"sd","10:30:08",31100
15000,100,300,"bu","10:28:10",30900
15000,100,500,"bu","10:28:10",30600
15000,100,3000,"sd","10:13:10",30100
15000,100,9700,"sd","10:11:29",27100
15000,100,100,"bu","10:09:16",17400
15000,100,500,"bu","10:09:16",17300
15000,100,600,"bu","10:09:16",16800
15000,100,2100,"bu","10:09:16",16200
15000,100,4000,"bu","10:09:16",14100
15000,100,4000,"bu","10:09:16",10100
15000,100,200,"bu","10:09:16",6100
15000,100,100,"bu","10:09:16",5900
15000,100,500,"bu","10:09:16",5800
15000,100,4900,"bu","10:09:16",5300
14950,50,300,"bu","10:09:16",400
15000,100,100,"bu","09:15:01",100
