"price","change","match_qtty","side","time","total_vol"
18300,0,300,"unknown","14:51:37",26300
18400,100,100,"unknown","14:23:18",26000
18400,100,2700,"sd","14:22:36",25900
18300,0,700,"sd","14:22:30",23200
18200,-100,100,"bu","13:38:20",22500
18200,-100,100,"bu","13:28:30",22400
18000,-300,400,"sd","11:29:10",22300
18000,-300,2500,"sd","11:28:43",21900
18000,-300,4800,"sd","10:57:52",19400
18100,-200,1300,"sd","10:47:55",14600
18100,-200,1000,"sd","10:05:50",13300
18100,-200,4400,"sd","09:58:41",12300
18200,-100,900,"sd","09:58:25",7900
18200,-100,3600,"sd","09:52:21",7000
18300,0,500,"sd","09:50:06",3400
18300,0,100,"sd","09:49:29",2900
18300,0,800,"sd","09:45:49",2800
18300,0,100,"bu","09:29:10",2000
18300,0,400,"bu","09:28:33",1900
18300,0,1500,"sd","09:28:04",1500
