"price","change","match_qtty","side","time","total_vol"
6330,-450,400,"sd","14:45:00",9300
6330,-450,100,"sd","13:36:21",8900
6330,-450,100,"sd","12:59:59",8800
6330,-450,300,"sd","11:07:23",8700
6310,-470,100,"sd","09:42:44",8400
6310,-470,100,"bu","09:32:01",8300
6310,-470,100,"bu","09:31:30",8200
6310,-470,200,"bu","09:31:26",8100
6310,-470,100,"bu","09:29:42",7900
6310,-470,400,"bu","09:29:29",7800
6310,-470,100,"bu","09:29:29",7400
6310,-470,500,"bu","09:29:29",7300
6310,-470,200,"bu","09:27:11",6800
6310,-470,3000,"bu","09:26:12",6600
6310,-470,200,"bu","09:25:12",3600
6310,-470,100,"bu","09:23:22",3400
6310,-470,200,"bu","09:22:57",3300
6310,-470,1000,"bu","09:22:24",3100
6310,-470,500,"bu","09:21:36",2100
6310,-470,500,"bu","09:20:40",1600
6310,-470,200,"bu","09:20:27",1100
6310,-470,600,"bu","09:20:25",900
6310,-470,300,"bu","09:15:00",300
