"price","change","match_qtty","side","time","total_vol"
14000,-150,8400,"sd","14:45:01",233300
14100,-50,800,"bu","14:29:44",224900
14000,-150,1000,"bu","14:29:22",224100
14000,-150,4000,"bu","14:29:18",223100
14000,-150,500,"bu","14:29:18",219100
14000,-150,200,"bu","14:29:18",218600
14000,-150,300,"bu","14:29:18",218400
14000,-150,100,"bu","14:28:40",218100
13900,-250,500,"sd","14:27:17",218000
13950,-200,600,"bu","14:26:27",217500
13950,-200,500,"bu","14:25:54",216900
13950,-200,2000,"bu","14:25:41",216400
13950,-200,1000,"sd","14:25:24",214400
13950,-200,300,"sd","14:25:24",213400
13950,-200,300,"sd","14:25:24",213100
13950,-200,300,"sd","14:25:24",212800
13950,-200,1000,"sd","14:25:06",212500
13950,-200,1000,"sd","14:25:06",211500
13950,-200,5000,"sd","14:25:06",210500
13950,-200,2000,"sd","14:25:06",205500
13950,-200,10000,"sd","14:25:06",203500
13950,-200,1000,"sd","14:25:06",193500
14000,-150,500,"sd","14:23:39",192500
14000,-150,100,"sd","14:23:39",192000
14000,-150,200,"bu","14:21:45",191900
14000,-150,300,"sd","14:21:07",191700
14000,-150,200,"sd","14:21:07",191400
14000,-150,300,"bu","14:19:55",191200
14000,-150,200,"bu","14:19:43",190900
14000,-150,100,"bu","14:19:02",190700
14000,-150,500,"bu","14:18:57",190600
14000,-150,5000,"bu","14:18:52",190100
14000,-150,1000,"bu","14:18:49",185100
14000,-150,200,"bu","14:18:32",184100
14000,-150,1200,"bu","14:18:06",183900
14000,-150,200,"bu","14:18:05",182700
14000,-150,200,"bu","14:18:05",182500
14000,-150,400,"bu","14:18:05",182300
14000,-150,100,"bu","14:18:05",181900
14000,-150,100,"bu","14:18:05",181800
14000,-150,100,"bu","14:18:05",181700
14000,-150,100,"bu","14:18:05",181600
14000,-150,100,"bu","14:18:05",181500
14000,-150,100,"bu","14:18:05",181400
14000,-150,100,"bu","14:18:05",181300
14000,-150,400,"bu","14:18:05",181200
14000,-150,100,"bu","14:18:05",180800
14000,-150,100,"bu","14:18:05",180700
14000,-150,700,"bu","14:18:05",180600
14000,-150,100,"bu","14:18:05",179900
14000,-150,100,"bu","14:18:05",179800
14000,-150,300,"bu","14:18:04",179700
14000,-150,100,"bu","14:18:04",179400
14000,-150,500,"bu","14:17:56",179300
14000,-150,2000,"bu","14:17:47",178800
14000,-150,5000,"bu","14:17:22",176800
14000,-150,200,"bu","14:16:55",171800
14000,-150,10000,"bu","14:16:10",171600
14000,-150,700,"bu","14:16:00",161600
14000,-150,2000,"bu","14:15:58",160900
14000,-150,10000,"bu","14:15:30",158900
14000,-150,3000,"bu","14:15:19",148900
14000,-150,500,"bu","14:15:04",145900
14000,-150,10000,"bu","14:14:12",145400
14000,-150,2000,"bu","14:14:12",135400
14000,-150,500,"bu","14:13:58",133400
14000,-150,1500,"bu","14:12:18",132900
14000,-150,2000,"bu","14:11:13",131400
14000,-150,10000,"bu","14:11:13",129400
14000,-150,1000,"sd","14:11:13",119400
14000,-150,200,"sd","14:11:13",118400
14000,-150,1000,"sd","14:11:13",118200
14000,-150,200,"sd","14:11:13",117200
14000,-150,5000,"sd","14:11:13",117000
14000,-150,100,"sd","14:11:13",112000
14000,-150,5000,"sd","14:11:13",111900
14000,-150,100,"sd","14:11:13",106900
14000,-150,100,"sd","14:11:13",106800
14000,-150,2000,"sd","14:11:13",106700
14000,-150,5000,"sd","14:11:13",104700
14000,-150,5000,"sd","14:11:13",99700
14050,-100,100,"sd","14:11:13",94700
14050,-100,400,"sd","14:11:13",94600
14050,-100,1000,"sd","14:11:13",94200
14050,-100,1000,"sd","14:11:13",93200
14050,-100,1000,"sd","14:11:13",92200
14100,-50,500,"sd","14:05:44",91200
14100,-50,6300,"sd","14:05:44",90700
14100,-50,3700,"sd","14:05:38",84400
14100,-50,1300,"sd","14:05:38",80700
14100,-50,300,"sd","14:05:04",79400
14100,-50,700,"sd","14:05:02",79100
14100,-50,100,"sd","14:05:02",78400
14100,-50,100,"sd","14:05:02",78300
14100,-50,6100,"sd","14:05:02",78200
14150,0,200,"bu","13:54:16",72100
14100,-50,3900,"sd","13:35:48",71900
14100,-50,100,"sd","13:35:48",68000
14100,-50,100,"sd","13:32:45",67900
14150,0,100,"bu","13:25:20",67800
14150,0,500,"bu","13:25:07",67700
14150,0,200,"bu","13:22:14",67200
14150,0,500,"bu","13:19:16",67000
14150,0,2500,"bu","13:19:16",66500
14150,0,100,"bu","13:17:58",64000
14150,0,100,"bu","13:17:57",63900
14150,0,100,"bu","13:17:56",63800
14150,0,100,"bu","13:09:51",63700
14150,0,100,"bu","13:01:57",63600
14150,0,2000,"bu","13:01:16",63500
14150,0,500,"unknown","13:00:00",61500
14150,0,100,"sd","13:00:00",61000
14150,0,200,"sd","13:00:00",60900
14150,0,100,"sd","13:00:00",60700
14150,0,1400,"sd","13:00:00",60600
14150,0,100,"sd","13:00:00",59200
14150,0,200,"sd","13:00:00",59100
