"price","change","match_qtty","side","time","total_vol"
3950,40,58700,"bu","14:45:00",1537200
3960,50,500,"bu","14:29:20",1478500
3950,40,14500,"sd","14:27:58",1478000
3950,40,30000,"sd","14:27:47",1463500
3960,50,100,"bu","14:27:47",1433500
3950,40,6000,"bu","14:26:18",1433400
3950,40,400,"bu","14:26:18",1427400
3950,40,2800,"bu","14:26:18",1427000
3950,40,500,"bu","14:26:18",1424200
3950,40,300,"bu","14:26:18",1423700
3940,30,400,"sd","14:25:47",1423400
3940,30,100,"sd","14:25:47",1423000
3940,30,100,"sd","14:25:25",1422900
3940,30,3000,"bu","14:24:30",1422800
3940,30,1800,"bu","14:24:30",1419800
3940,30,200,"sd","14:24:07",1418000
3940,30,300,"bu","14:23:47",1417800
3930,20,500,"sd","14:23:40",1417500
3940,30,200,"sd","14:23:40",1417000
3940,30,300,"sd","14:23:40",1416800
3940,30,100,"bu","14:23:34",1416500
3940,30,500,"bu","14:23:34",1416400
3940,30,500,"bu","14:23:32",1415900
3940,30,500,"bu","14:23:23",1415400
3940,30,200,"bu","14:23:04",1414900
3940,30,1000,"sd","14:22:55",1414700
3940,30,300,"sd","14:22:55",1413700
3950,40,300,"bu","14:22:20",1413400
3930,20,100,"sd","14:21:12",1413100
3940,30,200,"bu","14:20:14",1413000
3940,30,700,"bu","14:19:29",1412800
3940,30,100,"bu","14:19:28",1412100
3940,30,1000,"bu","14:19:27",1412000
3940,30,1000,"sd","14:19:19",1411000
3940,30,300,"sd","14:19:19",1410000
3940,30,800,"sd","14:19:19",1409700
3940,30,900,"sd","14:19:19",1408900
3950,40,1000,"bu","14:19:07",1408000
3950,40,800,"bu","14:18:47",1407000
3940,30,100,"sd","14:17:59",1406200
3940,30,100,"sd","14:17:59",1406100
3940,30,300,"sd","14:17:59",1406000
3950,40,100,"bu","14:16:58",1405700
3950,40,900,"bu","14:16:58",1405600
3950,40,300,"bu","14:16:52",1404700
3950,40,4000,"bu","14:16:22",1404400
3950,40,200,"bu","14:16:02",1400400
3950,40,100,"sd","14:15:54",1400200
3950,40,4500,"sd","14:15:54",1400100
3950,40,10000,"sd","14:15:54",1395600
3950,40,5500,"sd","14:15:53",1385600
3950,40,4500,"sd","14:15:53",1380100
3950,40,4700,"sd","14:15:39",1375600
3950,40,300,"sd","14:15:39",1370900
3960,50,10000,"sd","14:15:29",1370600
3970,60,100,"bu","14:15:28",1360600
3970,60,100,"bu","14:14:43",1360500
3970,60,1000,"bu","14:14:10",1360400
3970,60,1000,"bu","14:14:09",1359400
3970,60,500,"bu","14:13:58",1358400
3970,60,2700,"sd","14:13:36",1357900
3970,60,100,"sd","14:13:36",1355200
3970,60,1200,"sd","14:13:31",1355100
3970,60,1000,"sd","14:13:14",1353900
3980,70,100,"bu","14:13:10",1352900
3980,70,100,"bu","14:13:09",1352800
3980,70,16900,"bu","14:13:01",1352700
3980,70,3100,"bu","14:13:01",1335800
3980,70,4900,"bu","14:12:53",1332700
3980,70,5000,"bu","14:12:53",1327800
3980,70,100,"bu","14:12:53",1322800
3990,80,100,"bu","14:12:46",1322700
3980,70,100,"bu","14:12:34",1322600
3980,70,200,"bu","14:12:34",1322500
3980,70,1100,"bu","14:12:34",1322300
3990,80,3800,"bu","14:11:45",1321200
3990,80,200,"bu","14:11:45",1317400
3980,70,1000,"bu","14:11:45",1317200
3990,80,500,"bu","14:11:28",1316200
3980,70,100,"bu","14:11:28",1315700
3970,60,5100,"bu","14:11:28",1315600
3970,60,4900,"bu","14:11:12",1310500
3970,60,100,"bu","14:11:12",1305600
3990,80,2300,"bu","14:11:04",1305500
3990,80,1000,"bu","14:11:04",1303200
