"price","change","match_qtty","side","time","total_vol"
26850,0,53800,"unknown","14:45:00",889700
27000,150,1200,"bu","14:29:40",835900
27000,150,100,"bu","14:29:40",834700
27000,150,500,"bu","14:29:40",834600
27000,150,200,"bu","14:29:40",834100
27000,150,1800,"bu","14:29:38",833900
27000,150,200,"bu","14:29:38",832100
27000,150,4000,"bu","14:29:35",831900
27000,150,1000,"bu","14:29:35",827900
27000,150,100,"bu","14:29:31",826900
27000,150,700,"bu","14:29:16",826800
27000,150,100,"bu","14:29:15",826100
27000,150,100,"bu","14:29:03",826000
26900,50,2100,"bu","14:27:36",825900
26900,50,900,"bu","14:27:30",823800
26900,50,400,"bu","14:27:30",822900
26850,0,1700,"bu","14:27:30",822500
26850,0,100,"bu","14:27:27",820800
26850,0,500,"sd","14:27:27",820700
26850,0,1000,"sd","14:27:27",820200
26850,0,200,"sd","14:27:27",819200
26850,0,500,"sd","14:27:27",819000
26850,0,1000,"sd","14:27:26",818500
26900,50,1000,"bu","14:27:06",817500
26850,0,100,"bu","14:27:00",816500
26850,0,500,"bu","14:27:00",816400
26850,0,15000,"bu","14:26:57",815900
26850,0,400,"bu","14:26:57",800900
26850,0,500,"bu","14:26:57",800500
26850,0,300,"bu","14:26:53",800000
26850,0,100,"bu","14:26:47",799700
26850,0,500,"bu","14:26:45",799600
26850,0,1000,"bu","14:26:40",799100
26850,0,1000,"bu","14:26:38",798100
26850,0,100,"bu","14:26:38",797100
26850,0,500,"bu","14:26:37",797000
26850,0,1000,"bu","14:26:30",796500
26800,-50,300,"sd","14:26:30",795500
26800,-50,400,"sd","14:26:21",795200
26850,0,100,"sd","14:26:21",794800
26800,-50,800,"sd","14:26:16",794700
26800,-50,3500,"sd","14:26:16",793900
26850,0,5000,"sd","14:26:16",790400
26800,-50,700,"sd","14:26:16",785400
26900,50,100,"bu","14:26:15",784700
26800,-50,100,"sd","14:25:35",784600
26850,0,500,"sd","14:25:35",784500
26850,0,400,"sd","14:25:35",784000
26850,0,200,"sd","14:25:32",783600
26850,0,5000,"bu","14:25:26",783400
26850,0,1000,"bu","14:25:26",778400
26850,0,900,"bu","14:25:26",777400
26850,0,3900,"bu","14:25:26",776500
26850,0,1800,"bu","14:25:26",772600
26850,0,1000,"bu","14:25:24",770800
26800,-50,500,"sd","14:25:22",769800
26850,0,500,"bu","14:25:22",769300
26800,-50,100,"sd","14:25:22",768800
26850,0,100,"bu","14:24:41",768700
26850,0,300,"bu","14:24:33",768600
26800,-50,100,"sd","14:24:26",768300
26800,-50,200,"sd","14:24:26",768200
26800,-50,500,"bu","14:24:16",768000
26800,-50,300,"bu","14:24:12",767500
26800,-50,700,"bu","14:24:04",767200
26800,-50,1300,"bu","14:24:04",766500
26800,-50,500,"bu","14:24:02",765200
26800,-50,100,"bu","14:23:58",764700
26800,-50,3100,"bu","14:23:53",764600
26800,-50,1900,"bu","14:23:53",761500
26800,-50,2000,"sd","14:23:49",759600
26800,-50,100,"sd","14:23:49",757600
26700,-150,800,"sd","14:23:41",757500
26750,-100,100,"sd","14:23:41",756700
26750,-100,200,"sd","14:23:41",756600
26750,-100,2000,"sd","14:23:41",756400
26750,-100,100,"sd","14:23:41",754400
26750,-100,100,"sd","14:23:41",754300
26800,-50,100,"sd","14:23:41",754200
26800,-50,1600,"sd","14:23:41",754100
26800,-50,1400,"sd","14:23:41",752500
26800,-50,100,"sd","14:23:41",751100
26800,-50,100,"sd","14:23:41",751000
26800,-50,500,"sd","14:23:41",750900
26800,-50,200,"sd","14:23:41",750400
26800,-50,2700,"sd","14:23:41",750200
26800,-50,2300,"sd","14:23:29",747500
26800,-50,100,"sd","14:23:29",745200
26800,-50,500,"sd","14:23:29",745100
26800,-50,400,"sd","14:23:29",744600
26800,-50,100,"sd","14:23:29",744200
26800,-50,500,"sd","14:23:29",744100
26800,-50,100,"sd","14:23:29",743600
26850,0,200,"sd","14:23:26",743500
26850,0,1800,"bu","14:23:22",743300
26850,0,100,"bu","14:23:16",741500
26850,0,100,"sd","14:23:07",741400
26850,0,4900,"sd","14:22:45",741300
26850,0,1100,"sd","14:22:45",736400
26850,0,900,"sd","14:22:42",735300
26850,0,100,"sd","14:22:42",734400
26850,0,1000,"sd","14:22:42",734300
26850,0,300,"sd","14:22:42",733300
26900,50,100,"bu","14:22:39",733000
26850,0,1700,"sd","14:22:38",732900
26850,0,2000,"sd","14:22:20",731200
26850,0,1000,"sd","14:22:20",729200
26850,0,100,"sd","14:22:20",728200
26850,0,100,"sd","14:22:20",728100
26850,0,100,"sd","14:22:20",728000
26850,0,100,"sd","14:22:20",727900
26850,0,100,"sd","14:22:20",727800
26900,50,100,"sd","14:22:01",727700
26900,50,300,"sd","14:22:01",727600
26900,50,1100,"sd","14:22:01",727300
26900,50,100,"sd","14:22:01",726200
26900,50,400,"sd","14:22:01",726100
26900,50,100,"sd","14:21:56",725700
26900,50,200,"sd","14:21:56",725600
26900,50,200,"sd","14:21:56",725400
26900,50,100,"sd","14:21:44",725200
26900,50,900,"sd","14:21:44",725100
26900,50,300,"sd","14:21:30",724200
26900,50,200,"sd","14:21:23",723900
26900,50,3600,"sd","14:21:20",723700
26900,50,1900,"sd","14:21:20",720100
26900,50,2000,"sd","14:21:16",718200
26900,50,200,"sd","14:21:01",716200
26900,50,15900,"sd","14:20:51",716000
26900,50,100,"sd","14:20:51",700100
26900,50,300,"sd","14:20:51",700000
26900,50,300,"sd","14:20:51",699700
26900,50,500,"sd","14:20:51",699400
26900,50,100,"sd","14:20:51",698900
26900,50,100,"sd","14:20:51",698800
26950,100,500,"sd","14:20:45",698700
26950,100,300,"sd","14:20:43",698200
26950,100,200,"sd","14:20:43",697900
27000,150,200,"bu","14:20:37",697700
26950,100,800,"sd","14:20:26",697500
26950,100,200,"sd","14:20:26",696700
26950,100,600,"sd","14:20:18",696500
26950,100,200,"sd","14:20:18",695900
26950,100,500,"sd","14:20:18",695700
26950,100,300,"sd","14:20:18",695200
26950,100,800,"sd","14:19:58",694900
26950,100,200,"sd","14:19:58",694100
26950,100,800,"sd","14:19:23",693900
26950,100,200,"sd","14:19:23",693100
27000,150,2000,"sd","14:19:04",692900
27000,150,5000,"sd","14:19:04",690900
27000,150,200,"sd","14:19:04",685900
27000,150,100,"sd","14:19:04",685700
27000,150,800,"sd","14:19:04",685600
27000,150,1200,"sd","14:18:53",684800
27000,150,800,"sd","14:18:53",683600
27000,150,200,"sd","14:18:33",682800
27000,150,300,"sd","14:18:33",682600
27050,200,100,"sd","14:16:47",682300
27050,200,100,"sd","14:16:38",682200
27050,200,100,"sd","14:16:02",682100
27050,200,500,"sd","14:15:45",682000
27050,200,100,"sd","14:15:26",681500
27050,200,200,"sd","14:15:22",681400
27050,200,4100,"sd","14:15:22",681200
27050,200,500,"sd","14:14:52",677100
27050,200,100,"sd","14:14:32",676600
27050,200,300,"sd","14:14:18",676500
