"price","change","match_qtty","side","time","total_vol"
41500,100,900,"bu","14:47:58",56500
41500,100,1600,"bu","14:45:01",55600
41600,200,800,"bu","14:27:14",54000
41600,200,100,"sd","14:26:44",53200
41600,200,300,"sd","14:26:12",53100
41600,200,100,"sd","14:24:51",52800
41600,200,1200,"bu","14:21:39",52700
41600,200,1200,"bu","14:20:19",51500
41600,200,700,"bu","14:09:11",50300
41600,200,100,"unknown","14:04:37",49600
41600,200,1000,"bu","13:59:27",49500
41400,0,500,"sd","13:55:35",48500
41600,200,500,"sd","13:51:56",48000
41600,200,500,"sd","13:47:56",47500
41600,200,100,"sd","13:47:38",47000
41700,300,100,"bu","13:43:52",46900
41700,300,200,"sd","13:40:43",46800
41700,300,4700,"unknown","13:39:47",46600
41600,200,500,"sd","13:39:03",41900
41600,200,200,"sd","13:38:03",41400
41600,200,300,"bu","13:37:34",41200
41500,100,1400,"bu","13:36:04",40900
41500,100,300,"bu","13:35:22",39500
41500,100,300,"bu","13:34:55",39200
41300,-100,100,"sd","13:32:59",38900
41500,100,1300,"bu","13:30:47",38800
41500,100,200,"sd","13:28:07",37500
41500,100,500,"sd","13:27:29",37300
41500,100,300,"bu","13:25:49",36800
41500,100,200,"bu","13:25:48",36500
41500,100,500,"bu","13:25:44",36300
41500,100,100,"sd","13:24:17",35800
41500,100,900,"sd","13:24:06",35700
41500,100,100,"bu","13:24:03",34800
41500,100,2200,"bu","13:23:36",34700
41400,0,200,"sd","13:20:13",32500
41400,0,600,"bu","13:18:37",32300
41300,-100,800,"bu","13:14:11",31700
41100,-300,100,"sd","13:12:18",30900
41000,-400,700,"bu","13:10:44",30800
41000,-400,4300,"bu","13:10:10",30100
41100,-300,100,"sd","13:07:08",25800
41500,100,200,"sd","13:00:02",25700
41500,100,1000,"sd","11:25:17",25500
41500,100,2500,"unknown","11:24:03",24500
41400,0,800,"unknown","11:10:05",22000
41500,100,1000,"bu","11:05:52",21200
41400,0,300,"unknown","10:56:18",20200
41400,0,100,"bu","10:52:15",19900
41400,0,600,"bu","10:42:16",19800
41400,0,1000,"sd","10:42:13",19200
41400,0,2900,"unknown","10:41:09",18200
41200,-200,200,"bu","10:38:13",15300
41100,-300,400,"bu","10:36:49",15100
40900,-500,500,"unknown","10:32:27",14700
40900,-500,2000,"sd","10:29:42",14200
40900,-500,200,"sd","10:26:57",12200
41000,-400,200,"bu","10:26:34",12000
41000,-400,300,"sd","10:26:05",11800
41000,-400,500,"unknown","10:22:10",11500
41000,-400,500,"sd","10:21:19",11000
41100,-300,100,"bu","10:20:50",10500
41100,-300,500,"bu","10:12:03",10400
41000,-400,1500,"bu","10:09:57",9900
41000,-400,200,"sd","10:08:40",8400
41000,-400,400,"bu","09:58:11",8200
41000,-400,100,"bu","09:57:14",7800
41000,-400,2000,"bu","09:56:00",7700
41400,0,100,"bu","09:44:19",5700
41400,0,2700,"bu","09:41:38",5600
41400,0,300,"bu","09:37:02",2900
41400,0,500,"sd","09:31:54",2600
41400,0,600,"bu","09:30:47",2100
41400,0,1400,"bu","09:22:10",1500
41400,0,100,"unknown","09:01:26",100
