"price","change","match_qtty","side","time","total_vol"
25850,50,182100,"unknown","14:44:59",1862300
25800,0,5000,"sd","14:29:59",1680200
25800,0,200,"sd","14:29:59",1675200
25850,50,500,"bu","14:29:58",1675000
25800,0,2000,"bu","14:29:41",1674500
25800,0,2500,"bu","14:29:41",1672500
25800,0,2000,"bu","14:29:41",1670000
25800,0,1000,"bu","14:29:41",1668000
25800,0,1000,"bu","14:29:41",1667000
25800,0,1300,"bu","14:29:41",1666000
25750,-50,7000,"sd","14:29:29",1664700
25800,0,3500,"bu","14:29:19",1657700
25800,0,7500,"bu","14:29:11",1654200
25750,-50,500,"sd","14:29:09",1646700
25750,-50,1000,"sd","14:28:38",1646200
25750,-50,500,"sd","14:28:33",1645200
25750,-50,1000,"sd","14:28:29",1644700
25750,-50,1900,"sd","14:28:29",1643700
25750,-50,100,"sd","14:28:28",1641800
25750,-50,200,"sd","14:28:18",1641700
25750,-50,4200,"sd","14:27:58",1641500
25750,-50,100,"sd","14:27:58",1637300
25750,-50,100,"sd","14:27:55",1637200
25750,-50,3400,"sd","14:26:40",1637100
25750,-50,9400,"sd","14:26:40",1633700
25800,0,500,"bu","14:26:32",1624300
25750,-50,600,"sd","14:26:09",1623800
25750,-50,300,"sd","14:26:09",1623200
25800,0,1200,"bu","14:25:45",1622900
25800,0,9000,"sd","14:25:24",1621700
25800,0,400,"sd","14:25:15",1612700
25800,0,600,"sd","14:25:13",1612300
25800,0,1900,"sd","14:25:13",1611700
25800,0,1500,"sd","14:25:13",1609800
25850,50,1100,"bu","14:25:09",1608300
25800,0,500,"sd","14:25:03",1607200
25800,0,3900,"sd","14:24:51",1606700
25800,0,500,"sd","14:24:49",1602800
25800,0,3600,"sd","14:24:40",1602300
25800,0,100,"sd","14:24:40",1598700
25800,0,200,"sd","14:24:40",1598600
25800,0,2000,"sd","14:24:37",1598400
25800,0,600,"sd","14:24:27",1596400
25850,50,100,"bu","14:24:13",1595800
25850,50,400,"bu","14:24:13",1595700
25800,0,1000,"sd","14:24:12",1595300
25800,0,300,"sd","14:24:08",1594300
25800,0,500,"sd","14:24:02",1594000
25800,0,1000,"sd","14:23:51",1593500
25800,0,5000,"sd","14:23:47",1592500
25850,50,600,"bu","14:23:37",1587500
25850,50,500,"bu","14:23:37",1586900
25800,0,5000,"sd","14:23:18",1586400
25850,50,1800,"bu","14:23:02",1581400
25800,0,100,"bu","14:23:02",1579600
25800,0,1000,"bu","14:23:02",1579500
25800,0,500,"bu","14:23:02",1578500
25800,0,1000,"bu","14:23:02",1578000
25800,0,400,"bu","14:23:02",1577000
25800,0,200,"bu","14:23:02",1576600
25800,0,2500,"bu","14:23:02",1576400
25800,0,100,"bu","14:22:59",1573900
25800,0,2400,"bu","14:22:46",1573800
25800,0,5100,"bu","14:22:46",1571400
25800,0,5000,"bu","14:22:37",1566300
25750,-50,200,"sd","14:22:37",1561300
25800,0,1000,"bu","14:22:37",1561100
25800,0,1500,"bu","14:22:35",1560100
25800,0,1100,"bu","14:22:07",1558600
25800,0,10000,"bu","14:21:56",1557500
25800,0,2200,"bu","14:21:19",1547500
25800,0,100,"bu","14:21:03",1545300
25800,0,500,"bu","14:20:42",1545200
25800,0,5000,"bu","14:20:08",1544700
25800,0,1400,"bu","14:20:02",1539700
25750,-50,100,"sd","14:19:57",1538300
25800,0,2100,"bu","14:19:57",1538200
25800,0,5500,"bu","14:19:46",1536100
25800,0,1100,"bu","14:19:41",1530600
25750,-50,100,"sd","14:19:30",1529500
25750,-50,2800,"sd","14:19:05",1529400
25750,-50,6500,"sd","14:18:23",1526600
25750,-50,3500,"sd","14:18:23",1520100
25800,0,1300,"bu","14:18:05",1516600
25800,0,1100,"bu","14:17:53",1515300
