"price","change","match_qtty","side","time","total_vol"
37900,1200,100,"bu","14:53:21",24400
37200,500,600,"unknown","14:31:09",24300
37300,600,100,"unknown","14:30:59",23700
37500,800,100,"sd","14:23:16",23600
38000,1300,1000,"bu","13:00:05",23500
38000,1300,1200,"bu","11:24:47",22500
38000,1300,600,"bu","10:57:36",21300
37500,800,100,"unknown","10:48:04",20700
37200,500,200,"unknown","10:18:49",20600
37500,800,100,"unknown","10:18:26",20400
37500,800,3600,"sd","10:17:31",20300
37600,900,400,"sd","10:16:24",16700
37700,1000,100,"unknown","10:15:24",16300
38000,1300,700,"bu","10:07:05",16200
38200,1500,400,"bu","10:05:03",15500
38200,1500,2900,"bu","09:59:52",15100
38100,1400,200,"unknown","09:58:56",12200
38200,1500,1400,"bu","09:57:19",12000
38600,1900,900,"bu","09:51:52",10600
38600,1900,1800,"bu","09:48:15",9700
38000,1300,300,"sd","09:43:59",7900
38000,1300,1000,"bu","09:43:17",7600
38000,1300,200,"bu","09:30:58",6600
38900,2200,400,"bu","09:27:13",6400
38600,1900,200,"unknown","09:27:06",6000
38900,2200,200,"bu","09:22:53",5800
38800,2100,100,"unknown","09:19:19",5600
38800,2100,100,"sd","09:18:14",5500
38800,2100,100,"sd","09:17:16",5400
38800,2100,200,"sd","09:14:41",5300
38700,2000,400,"sd","09:12:46",5100
38700,2000,300,"sd","09:09:43",4700
38700,2000,200,"sd","09:08:56",4400
38600,1900,200,"sd","09:07:38",4200
38900,2200,200,"bu","09:06:23",4000
38900,2200,1700,"bu","09:05:46",3800
38900,2200,400,"bu","09:05:35",2100
38600,1900,100,"sd","09:04:55",1700
38900,2200,100,"sd","09:04:38",1600
38900,2200,200,"sd","09:04:15",1500
38500,1800,1000,"unknown","09:04:12",1300
38500,1800,100,"sd","09:02:41",300
38500,1800,200,"sd","09:02:12",200
