"price","change","match_qtty","side","time","total_vol"
22800,100,2233900,"unknown","14:45:03",12868300
22700,0,3000,"bu","14:29:58",10634400
22650,-50,200,"sd","14:29:45",10631400
22650,-50,1500,"sd","14:29:44",10631200
22650,-50,1000,"sd","14:29:43",10629700
22650,-50,16700,"sd","14:29:40",10628700
22650,-50,400,"sd","14:29:40",10612000
22700,0,18500,"bu","14:29:22",10611600
22700,0,2000,"bu","14:29:22",10593100
22700,0,9500,"bu","14:29:22",10591100
22700,0,100,"bu","14:29:17",10581600
22700,0,500,"bu","14:29:16",10581500
22700,0,9900,"bu","14:29:15",10581000
22700,0,100,"bu","14:29:15",10571100
22700,0,500,"bu","14:29:13",10571000
22700,0,500,"sd","14:29:11",10570500
22700,0,500,"bu","14:29:09",10570000
22700,0,100,"bu","14:29:09",10569500
22700,0,300,"bu","14:29:09",10569400
22700,0,700,"sd","14:29:08",10569100
22700,0,400,"bu","14:29:08",10568400
22700,0,18900,"bu","14:29:08",10568000
22700,0,700,"bu","14:29:07",10549100
22700,0,400,"bu","14:29:07",10548400
22700,0,600,"bu","14:29:07",10548000
22700,0,2000,"bu","14:29:04",10547400
22700,0,500,"sd","14:29:03",10545400
22700,0,16900,"sd","14:29:03",10544900
22700,0,500,"sd","14:29:02",10528000
22750,50,1700,"bu","14:29:02",10527500
22750,50,100,"bu","14:29:02",10525800
22750,50,500,"bu","14:29:02",10525700
22750,50,1400,"bu","14:29:02",10525200
22750,50,300,"bu","14:29:02",10523800
22700,0,1000,"bu","14:29:02",10523500
22700,0,1600,"bu","14:29:02",10522500
22700,0,2200,"bu","14:29:02",10520900
22700,0,3000,"bu","14:29:00",10518700
22700,0,1000,"bu","14:29:00",10515700
22700,0,2500,"bu","14:28:58",10514700
22700,0,3000,"bu","14:28:57",10512200
22700,0,6700,"bu","14:28:57",10509200
22700,0,2000,"bu","14:28:57",10502500
22700,0,11300,"bu","14:28:57",10500500
22700,0,8700,"bu","14:28:56",10489200
22700,0,1300,"bu","14:28:56",10480500
22700,0,100,"bu","14:28:56",10479200
22700,0,1600,"bu","14:28:54",10479100
