"price","change","match_qtty","side","time","total_vol"
22000,-500,1000,"unknown","14:45:01",65800
22300,-200,600,"sd","14:28:40",64800
22300,-200,1400,"sd","14:27:36",64200
22100,-400,400,"sd","14:18:00",62800
22100,-400,100,"bu","14:07:07",62400
21800,-700,6500,"bu","13:59:00",62300
21800,-700,1000,"bu","13:58:06",55800
21800,-700,6000,"bu","13:57:54",54800
21700,-800,300,"bu","13:56:48",48800
21700,-800,5000,"bu","13:56:32",48500
21700,-800,5000,"bu","13:55:23",43500
22000,-500,3000,"bu","13:51:28",38500
22000,-500,2000,"bu","13:50:33",35500
22000,-500,2000,"bu","13:49:57",33500
21400,-1100,8000,"sd","13:27:27",31500
21500,-1000,400,"sd","10:17:11",23500
21500,-1000,1900,"unknown","09:58:18",23100
21500,-1000,600,"sd","09:52:47",21200
21500,-1000,200,"sd","09:38:52",20600
21600,-900,100,"unknown","09:35:31",20400
21500,-1000,200,"sd","09:33:32",20300
22300,-200,20000,"sd","09:13:57",20100
22500,0,100,"bu","09:02:51",100
