"price","change","match_qtty","side","time","total_vol"
8.2,-0.2,100,"bu","14:45:06",25700
8.18,-0.22,500,"sd","14:09:17",25600
8.1,-0.3,200,"sd","14:01:14",25100
8.1,-0.3,1000,"sd","14:01:14",24900
8.1,-0.3,100,"sd","14:01:14",23900
8.1,-0.3,100,"sd","13:47:26",23800
8.1,-0.3,1000,"bu","13:41:37",23700
8.08,-0.32,200,"sd","13:40:43",22700
8.1,-0.3,1000,"bu","13:36:56",22500
8.1,-0.3,1000,"sd","13:35:46",21500
8.07,-0.33,500,"sd","13:27:36",20500
8.07,-0.33,300,"sd","13:27:36",20000
8.1,-0.3,200,"sd","13:27:36",19700
8.1,-0.3,100,"sd","13:27:36",19500
8.1,-0.3,1000,"sd","13:27:36",19400
8.16,-0.24,400,"sd","13:27:36",18400
8.18,-0.22,100,"sd","13:24:39",18000
8.18,-0.22,100,"sd","13:24:39",17900
8.39,-0.01,100,"bu","13:09:14",17800
8.38,-0.02,100,"bu","13:09:06",17700
8.16,-0.24,100,"sd","13:09:02",17600
8.37,-0.03,300,"bu","13:08:53",17500
8.37,-0.03,100,"bu","13:04:44",17200
8.4,0,100,"bu","11:23:20",17100
8.4,0,700,"bu","10:58:33",17000
8.2,-0.2,200,"unknown","10:35:49",16300
8.2,-0.2,500,"bu","10:20:10",16100
8.2,-0.2,200,"bu","10:15:16",15600
8.2,-0.2,2100,"bu","10:14:30",15400
8.2,-0.2,300,"bu","10:11:17",13300
8.2,-0.2,300,"bu","10:08:06",13000
8.2,-0.2,100,"bu","10:06:00",12700
8.1,-0.3,1400,"sd","09:58:54",12600
8.1,-0.3,400,"sd","09:40:21",11200
8.1,-0.3,100,"sd","09:40:21",10800
8.1,-0.3,1300,"bu","09:31:31",10700
8.1,-0.3,100,"bu","09:31:09",9400
8.1,-0.3,1000,"bu","09:30:42",9300
8.1,-0.3,1000,"bu","09:30:35",8300
8.1,-0.3,200,"bu","09:30:05",7300
8.1,-0.3,100,"bu","09:29:40",7100
8.1,-0.3,200,"bu","09:28:09",7000
8.1,-0.3,3300,"bu","09:28:03",6800
8.1,-0.3,100,"bu","09:27:56",3500
8.1,-0.3,1000,"bu","09:27:01",3400
8.1,-0.3,100,"sd","09:26:10",2400
8.11,-0.29,200,"sd","09:25:42",2300
8.4,0,700,"sd","09:21:34",2100
8.4,0,100,"sd","09:15:20",1400
8.4,0,1300,"sd","09:15:06",1300
