┌─────────┬───────────────┬──────────┬──────────┬──────────┬────────────────────┬──────────────┬────────────────────┬──────────┬────────────────────┬────────────────────────────┬───────────────┬───────────┬───────────┬─────────────────────┬────────────┬────────────────┐
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│    0    │ 1672046040000 │ 1685900  │ 1521300  │ 1117300  │    23052291500     │ 23789581200  │    14316757700     │ 4324500  │    61158630400     │ '2022-12-26T09:14:00.000Z' │  61158630400  │  4324500  │  -164600  │      737289700      │  -164600   │   737289700    │
│    1    │ 1672046160000 │ 1323000  │ 1398700  │  26000   │    20118304500     │ 19490041600  │     382844000      │ 2747700  │    39991190100     │ '2022-12-26T09:16:00.000Z' │ 101149820500  │  7072200  │   75700   │     -628262900      │   -88900   │   109026800    │
│    2    │ 1672046280000 │ 1141100  │ 1226200  │  39700   │    17863118500     │ 17927632200  │     784590000      │ 2407000  │    36575340700     │ '2022-12-26T09:18:00.000Z' │ 137725161200  │  9479200  │   85100   │      64513700       │   -3800    │   173540500    │
│    3    │ 1672046400000 │ 1184200  │ 1308000  │  36400   │    17586609000     │ 21707641000  │     805155000      │ 2528600  │    40099405000     │ '2022-12-26T09:20:00.000Z' │ 177824566200  │ 12007800  │  123800   │     4121032000      │   120000   │   4294572500   │
│    4    │ 1672046520000 │  940200  │ 1293300  │  16300   │    13088844100     │ 17237469000  │     228100000      │ 2249800  │    30554413100     │ '2022-12-26T09:22:00.000Z' │ 208378979300  │ 14257600  │  353100   │     4148624900      │   473100   │   8443197400   │
│    5    │ 1672046640000 │ 1173900  │  613000  │  18600   │    13601866600     │  9351154600  │     212195800      │ 1805500  │    23165217000     │ '2022-12-26T09:24:00.000Z' │ 231544196300  │ 16063100  │  -560900  │     -4250712000     │   -87800   │   4192485400   │
│    6    │ 1672046760000 │ 1333200  │  682500  │   8000   │    18813262000     │ 10544818100  │     109998000      │ 2023700  │    29468078100     │ '2022-12-26T09:26:00.000Z' │ 261012274400  │ 18086800  │  -650700  │     -8268443900     │  -738500   │  -4075958500   │
│    7    │ 1672046880000 │ 1892000  │  850800  │  16500   │    27624178600     │ 10345636100  │     207205000      │ 2759300  │    38177019700     │ '2022-12-26T09:28:00.000Z' │ 299189294100  │ 20846100  │ -1041200  │    -17278542500     │  -1779700  │  -21354501000  │
│    8    │ 1672047000000 │ 3222400  │  831900  │   1400   │    45716495600     │  9375694800  │      13578400      │ 4055700  │    55105768800     │ '2022-12-26T09:30:00.000Z' │ 354295062900  │ 24901800  │ -2390500  │    -36340800800     │  -4170200  │  -57695301800  │
│    9    │ 1672047120000 │ 2068700  │ 1530500  │  15100   │    27714594000     │ 21282233400  │     221027000      │ 3614300  │    49217854400     │ '2022-12-26T09:32:00.000Z' │ 403512917300  │ 28516100  │  -538200  │     -6432360600     │  -4708400  │  -64127662400  │
│   10    │ 1672047240000 │ 1664500  │ 1022400  │   5700   │    22102604100     │ 13502540100  │      26528000      │ 2692600  │    35631672200     │ '2022-12-26T09:34:00.000Z' │ 439144589500  │ 31208700  │  -642100  │     -8600064000     │  -5350500  │  -72727726400  │
│   11    │ 1672047360000 │ 1350200  │ 1027700  │   9900   │    18309700200     │ 13697134600  │     130590000      │ 2387800  │    32137424800     │ '2022-12-26T09:36:00.000Z' │ 471282014300  │ 33596500  │  -322500  │     -4612565600     │  -5673000  │  -77340292000  │
│   12    │ 1672047480000 │ 1637600  │ 1003800  │  16800   │    22001967800     │ 14519450100  │     256841100      │ 2658200  │    36778259000     │ '2022-12-26T09:38:00.000Z' │ 508060273300  │ 36254700  │  -633800  │     -7482517700     │  -6306800  │  -84822809700  │
│   13    │ 1672047600000 │ 3928400  │  976700  │  16400   │    58981335300     │ 11997473200  │     342360900      │ 4921500  │    71321169400     │ '2022-12-26T09:40:00.000Z' │ 579381442700  │ 41176200  │ -2951700  │    -46983862100     │  -9258500  │ -131806671800  │
│   14    │ 1672047720000 │ 3147100  │  805600  │  21500   │    43616319300     │  8770120900  │     220085400      │ 3974200  │    52606525600     │ '2022-12-26T09:42:00.000Z' │ 631987968300  │ 45150400  │ -2341500  │    -34846198400     │ -11600000  │ -166652870200  │
│   15    │ 1672047840000 │ 2882500  │ 1436100  │  21200   │    45766529900     │ 20754340600  │     350688000      │ 4339800  │    66871558500     │ '2022-12-26T09:44:00.000Z' │ 698859526800  │ 49490200  │ -1446400  │    -25012189300     │ -13046400  │ -191665059500  │
│   16    │ 1672047960000 │ 2521000  │ 1121400  │   5000   │    39383098800     │ 16887476300  │      51333000      │ 3647400  │    56321908100     │ '2022-12-26T09:46:00.000Z' │ 755181434900  │ 53137600  │ -1399600  │    -22495622500     │ -14446000  │ -214160682000  │
│   17    │ 1672048080000 │ 1131900  │ 1991800  │   3700   │    15449782300     │ 26581937800  │      69931000      │ 3127400  │    42101651100     │ '2022-12-26T09:48:00.000Z' │ 797283086000  │ 56265000  │  859900   │     11132155500     │ -13586100  │ -203028526500  │
│   18    │ 1672048200000 │  908900  │ 2064200  │  16400   │    14249387600     │ 30933478900  │     293481100      │ 2989500  │    45476347600     │ '2022-12-26T09:50:00.000Z' │ 842759433600  │ 59254500  │  1155300  │     16684091300     │ -12430800  │ -186344435200  │
│   19    │ 1672048320000 │ 1201800  │ 1574700  │  52500   │    21190706400     │ 22012068100  │ 530912399.99999994 │ 2829000  │    43733686900     │ '2022-12-26T09:52:00.000Z' │ 886493120500  │ 62083500  │  372900   │      821361700      │ -12057900  │ -185523073500  │
│   20    │ 1672048440000 │ 1247700  │ 1007000  │  18000   │    15247510500     │ 16030617700  │     327382000      │ 2272700  │    31605510200     │ '2022-12-26T09:54:00.000Z' │ 918098630700  │ 64356200  │  -240700  │      783107200      │ -12298600  │ -184739966300  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│   21    │ 1672048560000 │  639000  │  852200  │  11400   │    10258178200     │ 11490431700  │     162490000      │ 1502600  │    21911099900     │ '2022-12-26T09:56:00.000Z' │ 940009730600  │ 65858800  │  213200   │     1232253500      │ -12085400  │ -183507712800  │
│   22    │ 1672048680000 │  981800  │ 1200200  │  19900   │    17212138800     │ 15017175900  │     268624000      │ 2201900  │    32497938700     │ '2022-12-26T09:58:00.000Z' │ 972507669300  │ 68060700  │  218400   │     -2194962900     │ -11867000  │ -185702675700  │
│   23    │ 1672048800000 │ 1434500  │  822900  │   200    │    23424310900     │ 11271776700  │ 15980000.000000002 │ 2257600  │    34712067600     │ '2022-12-26T10:00:00.000Z' │ 1007219736900 │ 70318300  │  -611600  │    -12152534200     │ -12478600  │ -197855209900  │
│   24    │ 1672048920000 │  964600  │  649700  │  10500   │    13978068000     │ 10465672500  │     189515000      │ 1624800  │    24633255500     │ '2022-12-26T10:02:00.000Z' │ 1031852992400 │ 71943100  │  -314900  │     -3512395500     │ -12793500  │ -201367605400  │
│   25    │ 1672049040000 │ 1020900  │  690800  │   7000   │    14411536700     │ 11660948800  │     134016000      │ 1718700  │    26206501500     │ '2022-12-26T10:04:00.000Z' │ 1058059493900 │ 73661800  │  -330100  │     -2750587900     │ -13123600  │ -204118193300  │
│   26    │ 1672049160000 │  626800  │  858000  │  10800   │    10794760800     │ 14400231500  │      45667000      │ 1495600  │    25240659300     │ '2022-12-26T10:06:00.000Z' │ 1083300153200 │ 75157400  │  231200   │     3605470700      │ -12892400  │ -200512722600  │
│   27    │ 1672049280000 │  628400  │ 1114100  │   900    │    10153077000     │ 19934655100  │      11410000      │ 1743400  │    30099142100     │ '2022-12-26T10:08:00.000Z' │ 1113399295300 │ 76900800  │  485700   │     9781578100      │ -12406700  │ -190731144500  │
│   28    │ 1672049400000 │  895000  │ 1021300  │   3900   │    15791895300     │ 16172448700  │      46395300      │ 1920200  │    32010739300     │ '2022-12-26T10:10:00.000Z' │ 1145410034600 │ 78821000  │  126300   │      380553400      │ -12280400  │ -190350591100  │
│   29    │ 1672049520000 │ 1334800  │  664800  │  10200   │    22827818500     │  9806568500  │     161259000      │ 2009800  │    32795646000     │ '2022-12-26T10:12:00.000Z' │ 1178205680600 │ 80830800  │  -670000  │    -13021250000     │ -12950400  │ -203371841100  │
│   30    │ 1672049640000 │  868100  │  455300  │   5000   │    13034550500     │  7267196900  │      68250000      │ 1328400  │    20369997400     │ '2022-12-26T10:14:00.000Z' │ 1198575678000 │ 82159200  │  -412800  │     -5767353600     │ -13363200  │ -209139194700  │
│   31    │ 1672049760000 │ 1665200  │  779700  │   7300   │    27624463000     │  9056655800  │     102513000      │ 2452200  │    36783631800     │ '2022-12-26T10:16:00.000Z' │ 1235359309800 │ 84611400  │  -885500  │    -18567807200     │ -14248700  │ -227707001900  │
│   32    │ 1672049880000 │ 2138100  │  369400  │  19800   │    27942618100     │  4331161100  │     178299000      │ 2527300  │    32452078200     │ '2022-12-26T10:18:00.000Z' │ 1267811388000 │ 87138700  │ -1768700  │    -23611457000     │ -16017400  │ -251318458900  │
│   33    │ 1672050000000 │ 1520200  │  422300  │   5400   │    20351747900     │  7083525300  │     135155000      │ 1947900  │    27570428200     │ '2022-12-26T10:20:00.000Z' │ 1295381816200 │ 89086600  │ -1097900  │    -13268222600     │ -17115300  │ -264586681500  │
│   34    │ 1672050120000 │ 2711100  │  745200  │  33500   │    40630448800     │ 11374802700  │     147334000      │ 3489800  │    52152585500     │ '2022-12-26T10:22:00.000Z' │ 1347534401700 │ 92576400  │ -1965900  │    -29255646100     │ -19081200  │ -293842327600  │
│   35    │ 1672050240000 │ 3099700  │  569100  │  26000   │    53497873000     │  6361892100  │     538455000      │ 3694800  │    60398220100     │ '2022-12-26T10:24:00.000Z' │ 1407932621800 │ 96271200  │ -2530600  │    -47135980900     │ -21611800  │ -340978308500  │
│   36    │ 1672050360000 │ 2309100  │ 1017100  │  20300   │    28550927200     │ 11208809000  │      81648000      │ 3346500  │    39841384200     │ '2022-12-26T10:26:00.000Z' │ 1447774006000 │ 99617700  │ -1292000  │    -17342118200     │ -22903800  │ -358320426700  │
│   37    │ 1672050480000 │ 2184800  │ 1005800  │   4600   │    30555261600     │ 14661860000  │      93510000      │ 3195200  │    45310631600     │ '2022-12-26T10:28:00.000Z' │ 1493084637600 │ 102812900 │ -1179000  │    -15893401600     │ -24082800  │ -374213828300  │
│   38    │ 1672050600000 │ 1235700  │ 1231600  │  12700   │    17587994600     │ 16977975600  │     169826000      │ 2480000  │    34735796200     │ '2022-12-26T10:30:00.000Z' │ 1527820433800 │ 105292900 │   -4100   │     -610019000      │ -24086900  │ -374823847300  │
│   39    │ 1672050720000 │  701700  │  808200  │   4100   │     7903896500     │ 12036171600  │     132355000      │ 1514000  │    20072423100     │ '2022-12-26T10:32:00.000Z' │ 1547892856900 │ 106806900 │  106500   │     4132275100      │ -23980400  │ -370691572200  │
│   40    │ 1672050840000 │  508600  │  849000  │  12700   │     7586939000     │ 12132288400  │      98020000      │ 1370300  │    19817247400     │ '2022-12-26T10:34:00.000Z' │ 1567710104300 │ 108177200 │  340400   │     4545349400      │ -23640000  │ -366146222800  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│   41    │ 1672050960000 │ 3174400  │  753500  │  19000   │    48473903200     │ 11011294200  │     369085000      │ 3946900  │    59854282400     │ '2022-12-26T10:36:00.000Z' │ 1627564386700 │ 112124100 │ -2420900  │    -37462609000     │ -26060900  │ -403608831800  │
│   42    │ 1672051080000 │ 1976600  │  604700  │   6700   │    25972072300     │  9915399400  │      83218200      │ 2588000  │    35970689900     │ '2022-12-26T10:38:00.000Z' │ 1663535076600 │ 114712100 │ -1371900  │    -16056672900     │ -27432800  │ -419665504700  │
│   43    │ 1672051200000 │ 1338100  │  721700  │   8700   │    18597053000     │ 11963615700  │     218275000      │ 2068500  │    30778943700     │ '2022-12-26T10:40:00.000Z' │ 1694314020300 │ 116780600 │  -616400  │     -6633437300     │ -28049200  │ -426298942000  │
│   44    │ 1672051320000 │  927400  │  619700  │   100    │    13735088700     │  9902487200  │ 6690000.000000001  │ 1547200  │    23644265900     │ '2022-12-26T10:42:00.000Z' │ 1717958286200 │ 118327800 │  -307700  │     -3832601500     │ -28356900  │ -430131543500  │
